Day,Binance
9/15/17,<1
9/16/17,<1
9/17/17,<1
9/18/17,<1
9/19/17,<1
9/20/17,<1
9/21/17,<1
9/22/17,<1
9/23/17,<1
9/24/17,<1
9/25/17,1
9/26/17,1
9/27/17,1
9/28/17,1
9/29/17,1
9/30/17,1
10/1/17,1
10/2/17,1
10/3/17,1
10/4/17,1
10/5/17,1
10/6/17,<1
10/7/17,1
10/8/17,<1
10/9/17,<1
10/10/17,1
10/11/17,<1
10/12/17,<1
10/13/17,<1
10/14/17,<1
10/15/17,1
10/16/17,<1
10/17/17,<1
10/18/17,<1
10/19/17,<1
10/20/17,<1
10/21/17,<1
10/22/17,<1
10/23/17,1
10/24/17,1
10/25/17,<1
10/26/17,<1
10/27/17,<1
10/28/17,<1
10/29/17,1
10/30/17,<1
10/31/17,<1
11/1/17,1
11/2/17,1
11/3/17,1
11/4/17,1
11/5/17,1
11/6/17,1
11/7/17,1
11/8/17,1
11/9/17,1
11/10/17,1
11/11/17,1
11/12/17,1
11/13/17,1
11/14/17,1
11/15/17,1
11/16/17,1
11/17/17,1
11/18/17,1
11/19/17,1
11/20/17,1
11/21/17,1
11/22/17,2
11/23/17,2
11/24/17,2
11/25/17,2
11/26/17,2
11/27/17,2
11/28/17,3
11/29/17,3
11/30/17,3
12/1/17,2
12/2/17,2
12/3/17,3
12/4/17,7
12/5/17,9
12/6/17,17
12/7/17,10
12/8/17,8
12/9/17,8
12/10/17,6
12/11/17,7
12/12/17,13
12/13/17,13
12/14/17,18
12/15/17,17
12/16/17,17
12/17/17,21
12/18/17,24
12/19/17,30
12/20/17,34
12/21/17,36
12/22/17,28
12/23/17,26
12/24/17,21
12/25/17,20
12/26/17,20
12/27/17,23
12/28/17,23
12/29/17,35
12/30/17,39
12/31/17,30
1/1/18,25
1/2/18,39
1/3/18,61
1/4/18,100
1/5/18,64
1/6/18,48
1/7/18,42
1/8/18,48
1/9/18,46
1/10/18,44
1/11/18,46
1/12/18,40
1/13/18,35
1/14/18,28
1/15/18,28
1/16/18,27
1/17/18,24
1/18/18,27
1/19/18,20
1/20/18,20
1/21/18,16
1/22/18,15
1/23/18,15
1/24/18,15
1/25/18,14
1/26/18,14
1/27/18,16
1/28/18,14
1/29/18,13
1/30/18,12
1/31/18,11
2/1/18,11
2/2/18,13
2/3/18,11
2/4/18,8
2/5/18,9
2/6/18,10
2/7/18,11
2/8/18,30
2/9/18,50
2/10/18,22
2/11/18,9
2/12/18,9
2/13/18,7
2/14/18,8
2/15/18,9
2/16/18,9
2/17/18,10
2/18/18,8
2/19/18,9
2/20/18,9
2/21/18,7
2/22/18,7
2/23/18,7
2/24/18,8
2/25/18,6
2/26/18,7
2/27/18,7
2/28/18,7
3/1/18,8
3/2/18,7
3/3/18,6
3/4/18,6
3/5/18,7
3/6/18,6
3/7/18,14
3/8/18,10
3/9/18,9
3/10/18,6
3/11/18,5
3/12/18,6
3/13/18,6
3/14/18,7
3/15/18,6
