Date,price,volume,delta_price,Abs_delta_price,,,,,,
2017-09-18,3907.96,123214.81,,,,,,172,0.87755102,
2017-09-19,3882.16,86645.15,-25.8,25.8,,,,,,
2017-09-20,3617.27,145124.78,-264.89,264.89,,,,,26259584.59,
2017-09-21,3600.83,114717.36,-16.44,16.44,,,,,,
2017-09-22,3788.02,67820.32,187.19,187.19,,,,Total,26382799.4,
2017-09-23,3667.52,49661.76,-120.5,120.5,,,,,,
2017-09-24,3932.83,100194.7,265.31,265.31,,,,,,0.995329729
2017-09-25,3892.7,63252.3,-40.13,40.13,,,,,,
2017-09-26,4212.2,117596.07,319.5,319.5,,,,,,
2017-09-27,4195.65,92228.17,-16.55,16.55,,,,,,
2017-09-28,4172.79,97803.91,-22.86,22.86,,,,,,
2017-09-29,4360.62,67493.68,187.83,187.83,,,,,,
2017-09-30,4403.09,60583.85,42.47,42.47,,,,,,
2017-10-01,4401.32,71201.48,-1.77,1.77,,,,,,
2017-10-02,4314.18,81867.3,-87.14,87.14,,,,,,
2017-10-03,4218.66,64081.96,-95.52,95.52,,,,,,
2017-10-04,4321.44,63613.2,102.78,102.78,,,,,,
2017-10-05,4371.94,61692.93,50.5,50.5,,,,,,
2017-10-06,4435.81,40202.08,63.87,63.87,,,,,,
2017-10-07,4611.7,71366.95,175.89,175.89,,,,,,
2017-10-08,4777.49,110191.77,165.79,165.79,,,,,,
2017-10-09,4763.36,98485,-14.13,14.13,,,,,,
2017-10-10,4824.2,70482.75,60.84,60.84,,,,,,
2017-10-11,5432.62,163916.09,608.42,608.42,,,,,,
2017-10-12,5637.26,215018.92,204.64,204.64,,,,,,
2017-10-13,5824.71,76224.35,187.45,187.45,,,,,,
2017-10-14,5688.14,101636.95,-136.57,136.57,,,,,,
2017-10-15,5759.33,61358.95,71.19,71.19,,,,,,
2017-10-16,5598.58,65637.43,-160.75,160.75,,,,,,
2017-10-17,5575.83,122020.31,-22.75,22.75,,,,,,
2017-10-18,5698.65,83056.09,122.82,122.82,,,,,,
2017-10-19,5993.11,123860.51,294.46,294.46,,,,,,
2017-10-20,6006.65,112943.89,13.54,13.54,,,,,,
2017-10-21,5982.86,105030.93,-23.79,23.79,,,,,,
2017-10-22,5903.61,137140.4,-79.25,79.25,,,,,,
2017-10-23,5513.08,143735.81,-390.53,390.53,,,,,,
2017-10-24,5734,105839.48,220.92,220.92,,,,,,
2017-10-25,5887.61,93675.55,153.61,153.61,,,,,,
2017-10-26,5764.56,83933.5,-123.05,123.05,,,,,,
2017-10-27,5726.61,53232.17,-37.95,37.95,,,,,,
2017-10-28,6147.52,163055.75,420.91,420.91,,,,,,
2017-10-29,6124.28,78624.31,-23.24,23.24,,,,,,
2017-10-30,6451.24,101249.62,326.96,326.96,,,,,,
2017-10-31,6737.78,133191.93,286.54,286.54,,,,,,
2017-11-01,7024.81,238796.19,287.03,287.03,,,,,,
2017-11-02,7152.12,154886.75,127.31,127.31,,,,,,
2017-11-03,7363.8,106602.67,211.68,211.68,,,,,,
2017-11-04,7389.55,105727.2,25.75,25.75,,,,,,
2017-11-05,6959.23,159688.48,-430.32,430.32,,,,,,
2017-11-06,7102.75,101044.57,143.52,143.52,,,,,,
2017-11-07,7444.36,220224.38,341.61,341.61,,,,,,
2017-11-08,7129.59,126769.9,-314.77,314.77,,,,,,
2017-11-09,6565.8,222001.18,-563.79,563.79,,,,,,
2017-11-10,6339.86,135719.07,-225.94,225.94,,,,,,
2017-11-11,5878.13,269832.87,-461.73,461.73,,,,,,
2017-11-12,6522.45,178340.89,644.32,644.32,,,,,,
2017-11-13,6597.06,96502.09,74.61,74.61,,,,,,
2017-11-14,7283.22,131120.23,686.16,686.16,,,,,,
2017-11-15,7853.68,133937.8,570.46,570.46,,,,,,
2017-11-16,7699.95,117347.03,-153.73,153.73,,,,,,
2017-11-17,7780.91,74382.12,80.96,80.96,,,,,,
2017-11-18,8042.64,68618.85,261.73,261.73,,,,,,
