,Date,Banned,Bubble,Collapse,Crash,Fall,Fraud,Illegal,Scam,Tulip,Worst,Binance,Blockchain,Boom,Buy,Coinbase,Coinmarket,GDAX,Kraken,Price,Race,Bitcoin,Positive,Negative
1,2017-09-15,37,9.0,14,7.0,18,19,18,34,5,17,0.5,19,12,10,5,19,4,13,16,3,18,10.944444444444445,17.88888888888889
2,2017-09-16,33,3.0,0,1.0,8,42,7,24,4,0,0.0,14,0,7,4,0,5,9,10,0,12,5.444444444444445,13.555555555555555
3,2017-09-17,0,2.0,15,2.0,2,14,20,16,4,18,0.0,10,0,6,2,0,4,11,7,3,10,4.444444444444445,8.333333333333334
4,2017-09-18,0,4.0,7,2.0,3,18,0,13,7,16,0.0,18,23,8,3,6,2,12,9,0,11,9.0,6.0
5,2017-09-19,0,4.0,7,2.0,0,24,18,35,4,0,0.0,14,0,7,3,18,5,17,8,0,11,8.0,10.444444444444445
6,2017-09-20,14,1.0,0,1.0,4,12,29,16,4,0,0.5,13,0,6,2,12,1,9,7,6,9,5.611111111111111,9.0
7,2017-09-21,7,4.0,14,1.0,4,18,24,15,2,16,0.5,14,12,6,3,0,2,10,7,0,10,6.055555555555555,9.88888888888889
8,2017-09-22,7,1.0,0,1.0,7,6,13,8,0,0,0.0,14,0,5,2,0,3,7,7,0,9,4.222222222222222,4.777777777777778
9,2017-09-23,8,2.0,8,1.0,3,7,14,9,5,0,0.0,6,13,5,2,0,3,4,5,0,7,4.222222222222222,6.333333333333333
10,2017-09-24,8,1.0,8,0.5,0,0,7,18,3,0,0.5,12,0,6,2,0,2,5,4,0,7,3.5,5.055555555555555
11,2017-09-25,0,3.0,7,1.0,1,0,6,11,4,16,0.0,17,0,4,2,0,2,9,6,3,8,4.444444444444445,3.6666666666666665
12,2017-09-26,0,3.0,7,1.0,3,12,6,17,0,16,0.5,14,0,5,3,0,1,14,5,0,8,4.722222222222222,5.444444444444445
13,2017-09-27,14,3.0,7,1.0,4,30,12,21,4,0,1.0,14,11,5,3,0,2,11,6,0,8,5.888888888888889,10.666666666666666
14,2017-09-28,22,2.0,7,1.0,6,30,18,10,2,16,0.5,18,0,5,3,24,1,10,6,3,8,7.5,10.88888888888889
15,2017-09-29,15,1.0,7,0.5,0,6,6,12,2,17,1.0,17,24,5,2,0,2,5,5,3,8,6.777777777777778,5.5
16,2017-09-30,8,1.0,0,1.0,0,7,7,17,3,0,1.0,8,27,5,2,14,1,7,5,0,7,7.777777777777778,4.888888888888889
17,2017-10-01,8,3.0,23,0.5,2,14,7,9,3,18,1.0,12,0,7,3,0,3,8,5,0,7,4.333333333333333,7.722222222222222
18,2017-10-02,29,0.0,7,1.0,0,6,6,18,0,0,1.0,12,11,6,2,6,2,8,6,6,8,6.0,7.444444444444445
19,2017-10-03,7,1.0,0,1.0,3,6,0,13,2,16,0.5,14,0,6,3,0,2,11,5,0,8,4.611111111111111,3.6666666666666665
20,2017-10-04,0,2.0,7,1.0,4,18,6,21,0,0,1.0,14,0,5,2,12,2,12,5,0,7,5.888888888888889,6.555555555555555
21,2017-10-05,22,1.0,7,1.0,1,12,12,11,2,33,0.0,15,12,6,3,6,1,5,5,0,8,5.888888888888889,7.666666666666667
22,2017-10-06,7,2.0,7,1.0,0,12,37,15,3,17,0.0,13,0,5,2,6,1,11,4,0,7,4.666666666666667,9.333333333333334
23,2017-10-07,16,3.0,0,0.5,2,7,27,15,0,0,0.0,10,13,4,2,0,1,3,4,0,7,4.111111111111111,7.833333333333333
24,2017-10-08,16,0.0,0,1.0,6,14,13,18,2,18,0.5,10,0,7,2,0,2,6,5,3,8,3.611111111111111,7.777777777777778
25,2017-10-09,0,2.0,0,1.0,3,24,6,24,2,16,1.0,12,0,6,3,6,1,12,6,0,9,5.222222222222222,6.888888888888889
26,2017-10-10,0,2.0,13,1.0,3,23,17,20,4,16,1.0,17,0,7,4,6,5,15,7,3,10,6.888888888888889,9.222222222222221
27,2017-10-11,14,0.5,7,1.0,3,12,17,29,2,0,0.0,13,11,6,4,6,3,11,6,3,9,6.666666666666667,9.5
