,Day,Bitcoin,coinbase,BuyBitcoin,coin market cap,Kraken,GDAX,Binance,Blockchain
0,9/15/17,0,8,0,19,23,8,<1,30
1,9/16/17,0,5,31,15,19,5,<1,20
2,9/17/17,0,4,0,9,16,5,<1,20
3,9/18/17,0,6,0,17,16,5,<1,33
4,9/19/17,0,5,0,9,17,5,<1,29
5,9/20/17,0,4,0,11,15,4,<1,31
6,9/21/17,0,4,0,10,17,3,<1,33
7,9/22/17,0,4,0,8,16,4,<1,28
8,9/23/17,0,4,30,11,15,3,<1,20
9,9/24/17,0,3,0,7,16,2,<1,19
10,9/25/17,35,4,26,9,16,3,1,30
11,9/26/17,0,4,0,11,15,3,1,31
12,9/27/17,0,5,26,11,18,4,1,31
13,9/28/17,0,4,0,11,17,3,1,31
14,9/29/17,0,4,0,8,18,3,1,28
15,9/30/17,0,4,0,11,18,2,1,19
16,10/1/17,0,4,0,14,17,3,1,20
17,10/2/17,0,4,0,14,16,3,1,30
18,10/3/17,0,4,26,12,17,3,1,32
19,10/4/17,0,4,0,9,17,3,1,32
20,10/5/17,0,4,0,11,17,3,1,30
21,10/6/17,0,4,0,10,17,3,<1,29
22,10/7/17,0,3,0,8,19,2,1,20
23,10/8/17,0,4,0,11,20,2,<1,22
24,10/9/17,0,5,26,11,18,3,<1,31
25,10/10/17,0,5,26,9,18,3,1,36
26,10/11/17,0,4,0,12,18,2,<1,35
27,10/12/17,35,8,0,11,20,5,<1,38
28,10/13/17,0,9,27,19,23,7,<1,37
29,10/14/17,0,7,0,17,23,4,<1,27
30,10/15/17,40,7,30,12,21,5,1,27
31,10/16/17,34,7,0,12,20,5,<1,39
32,10/17/17,34,7,0,12,20,5,<1,41
33,10/18/17,35,6,0,9,20,5,<1,39
34,10/19/17,0,7,27,12,20,4,<1,37
35,10/20/17,0,7,0,14,20,6,<1,36
36,10/21/17,40,7,30,9,24,5,<1,30
37,10/22/17,0,6,0,10,19,4,<1,27
38,10/23/17,0,8,26,12,21,5,1,40
39,10/24/17,0,7,0,12,22,5,1,42
40,10/25/17,0,7,26,9,20,5,<1,40
41,10/26/17,0,6,52,13,20,6,<1,39
42,10/27/17,0,6,0,11,18,4,<1,39
43,10/28/17,0,5,0,10,17,3,<1,27
44,10/29/17,0,5,0,11,17,5,1,30
45,10/30/17,69,7,0,13,18,5,<1,38
46,10/31/17,0,8,0,14,19,5,<1,38
47,11/1/17,0,10,0,15,20,6,1,40
48,11/2/17,0,14,0,21,26,13,1,45
49,11/3/17,36,12,53,16,24,8,1,45
50,11/4/17,0,10,0,14,23,7,1,35
51,11/5/17,0,10,29,10,22,6,1,32
52,11/6/17,0,9,0,13,22,7,1,45
53,11/7/17,0,8,0,14,20,8,1,46
54,11/8/17,0,11,0,17,28,10,1,45
55,11/9/17,0,12,0,16,22,8,1,47
56,11/10/17,0,11,53,15,26,11,1,39
57,11/11/17,39,9,87,21,28,6,1,33
58,11/12/17,0,9,29,26,30,9,1,39
59,11/13/17,33,10,0,18,28,10,1,44
60,11/14/17,0,9,0,19,23,8,1,46
61,11/15/17,0,10,25,18,23,8,1,45
62,11/16/17,34,9,0,17,24,9,1,46
63,11/17/17,35,13,53,14,24,10,1,42
64,11/18/17,0,9,0,14,23,8,1,30
65,11/19/17,38,9,0,16,24,9,1,31
66,11/20/17,0,11,0,19,25,10,1,44
67,11/21/17,33,12,50,20,27,11,1,49
68,11/22/17,0,10,0,17,25,10,2,47
69,11/23/17,35,9,26,19,27,10,2,41
70,11/24/17,35,10,53,17,31,10,2,40
71,11/25/17,0,13,0,18,29,13,2,33
72,11/26/17,0,17,29,21,33,14,2,38
73,11/27/17,0,22,49,19,32,17,2,57
74,11/28/17,0,26,74,31,36,19,3,61
75,11/29/17,0,55,51,34,46,44,3,73
76,11/30/17,34,39,76,30,34,30,3,63
77,12/1/17,35,27,0,25,32,23,2,57
78,12/2/17,0,21,0,20,30,22,2,45
79,12/3/17,0,20,58,23,33,21,3,44
80,12/4/17,0,23,25,30,33,19,7,62
81,12/5/17,0,26,50,31,34,20,9,64
82,12/6/17,0,38,26,37,42,33,17,71
83,12/7/17,68,78,51,47,50,68,10,100
84,12/8/17,0,61,80,46,47,53,8,88
85,12/9/17,0,49,0,32,43,51,8,66
86,12/10/17,38,35,29,32,36,41,6,56
87,12/11/17,100,48,75,35,34,49,7,75
88,12/12/17,33,93,100,52,58,92,13,89
89,12/13/17,34,77,25,58,68,75,13,80
90,12/14/17,0,64,0,49,75,59,18,73
91,12/15/17,35,51,27,44,59,50,17,72
92,12/16/17,0,45,59,42,50,48,17,60
93,12/17/17,0,49,30,53,49,45,21,65
94,12/18/17,34,45,51,54,47,41,24,76
95,12/19/17,0,56,26,63,56,54,30,87
96,12/20/17,71,100,0,59,53,100,34,85
97,12/21/17,73,62,27,71,62,60,36,92
98,12/22/17,76,76,29,86,60,75,28,87
99,12/23/17,0,47,63,64,50,50,26,65
100,12/24/17,0,34,33,57,46,45,21,51
101,12/25/17,0,30,0,55,45,36,20,53
102,12/26/17,38,33,85,54,42,31,20,60
103,12/27/17,0,37,55,60,47,32,23,67
104,12/28/17,0,34,0,59,46,33,23,62
105,12/29/17,0,42,0,66,64,42,35,57
106,12/30/17,0,46,30,77,62,48,39,47
107,12/31/17,0,32,0,72,46,33,30,42
108,1/1/18,0,26,0,64,42,25,25,42
109,1/2/18,35,45,0,77,54,39,39,62
110,1/3/18,34,55,25,85,71,48,61,70
111,1/4/18,0,69,25,100,82,52,100,72
112,1/5/18,69,56,78,95,60,51,64,72
113,1/6/18,0,42,28,86,55,44,48,56
114,1/7/18,38,42,0,89,53,38,42,58
115,1/8/18,33,41,0,89,50,38,48,71
116,1/9/18,33,36,0,74,44,39,46,75
117,1/10/18,0,37,25,80,45,39,44,89
118,1/11/18,0,32,0,81,67,32,46,78
119,1/12/18,34,28,26,69,100,28,40,70
120,1/13/18,0,28,0,72,99,31,35,57
121,1/14/18,0,24,28,55,46,22,28,56
122,1/15/18,0,22,0,59,38,21,28,61
123,1/16/18,32,31,49,83,36,34,27,70
124,1/17/18,64,34,0,87,37,39,24,69
125,1/18/18,0,28,0,75,36,30,27,71
126,1/19/18,0,19,25,50,32,21,20,63
127,1/20/18,0,18,0,57,29,21,20,50
128,1/21/18,0,16,28,44,26,19,16,49
129,1/22/18,0,17,24,48,24,20,15,61
130,1/23/18,32,16,24,49,23,21,15,62
131,1/24/18,0,15,0,45,24,16,15,60
132,1/25/18,0,15,0,41,22,15,14,60
133,1/26/18,0,15,0,41,24,16,14,53
134,1/27/18,0,12,0,35,25,14,16,39
135,1/28/18,0,14,0,40,24,16,14,46
136,1/29/18,0,13,24,37,25,15,13,60
137,1/30/18,0,13,0,36,22,15,12,55
138,1/31/18,0,12,24,41,21,13,11,52
139,2/1/18,33,15,50,41,23,21,11,56
140,2/2/18,34,18,0,55,26,22,13,52
141,2/3/18,0,13,28,36,23,14,11,38
142,2/4/18,0,11,0,29,21,15,8,36
143,2/5/18,0,14,0,40,20,19,9,48
144,2/6/18,32,16,24,46,23,23,10,51
