,Day,Banned,Scam,Collapse,Crash,Fall,Fraud,Illegal,Ponzi,Tulip,Worst,Bitcoin,Negative
1,2017-09-15,37,34,14,7.0,18,19,18,7,5,17,18,17.666666666666668
2,2017-09-16,33,24,0,1.0,8,42,7,0,4,0,12,13.222222222222221
3,2017-09-17,0,16,15,2.0,2,14,20,8,4,18,10,9.0
4,2017-09-18,0,13,7,2.0,3,18,0,0,7,16,11,5.555555555555555
5,2017-09-19,0,35,7,2.0,0,24,18,3,4,0,11,10.333333333333334
6,2017-09-20,14,16,0,1.0,4,12,29,0,4,0,9,8.88888888888889
7,2017-09-21,7,15,14,1.0,4,18,24,4,2,16,10,9.88888888888889
8,2017-09-22,7,8,0,1.0,7,6,13,4,0,0,9,5.111111111111111
9,2017-09-23,8,9,8,1.0,3,7,14,12,5,0,7,7.444444444444445
10,2017-09-24,8,18,8,0.5,0,0,7,0,3,0,7,4.944444444444445
11,2017-09-25,0,11,7,1.0,1,0,6,0,4,16,8,3.3333333333333335
12,2017-09-26,0,17,7,1.0,3,12,6,0,0,16,8,5.111111111111111
13,2017-09-27,14,21,7,1.0,4,30,12,0,4,0,8,10.333333333333334
14,2017-09-28,22,10,7,1.0,6,30,18,0,2,16,8,10.666666666666666
15,2017-09-29,15,12,7,0.5,0,6,6,7,2,17,8,6.166666666666667
16,2017-09-30,8,17,0,1.0,0,7,7,0,3,0,7,4.777777777777778
17,2017-10-01,8,9,23,0.5,2,14,7,4,3,18,7,7.833333333333333
18,2017-10-02,29,18,7,1.0,0,6,6,7,0,0,8,8.222222222222221
19,2017-10-03,7,13,0,1.0,3,6,0,3,2,16,8,3.888888888888889
20,2017-10-04,0,21,7,1.0,4,18,6,3,0,0,7,6.666666666666667
21,2017-10-05,22,11,7,1.0,1,12,12,7,2,33,8,8.333333333333334
22,2017-10-06,7,15,7,1.0,0,12,37,7,3,17,7,9.88888888888889
23,2017-10-07,16,15,0,0.5,2,7,27,4,0,0,7,7.944444444444445
24,2017-10-08,16,18,0,1.0,6,14,13,0,2,18,8,7.777777777777778
25,2017-10-09,0,24,0,1.0,3,24,6,3,2,16,9,7.0
26,2017-10-10,0,20,13,1.0,3,23,17,7,4,16,10,9.777777777777779
27,2017-10-11,14,29,7,1.0,3,12,17,7,2,0,9,10.222222222222221
28,2017-10-12,7,39,14,2.0,1,37,36,0,6,0,15,15.777777777777779
29,2017-10-13,7,27,7,3.0,6,37,12,14,5,0,18,13.11111111111111
30,2017-10-14,8,17,16,1.0,3,14,0,4,4,37,12,7.444444444444445
31,2017-10-15,32,25,0,2.0,5,14,14,0,8,36,11,11.11111111111111
32,2017-10-16,7,32,0,2.0,3,36,12,3,5,16,11,11.11111111111111
33,2017-10-17,28,21,7,2.0,6,12,0,3,3,0,11,9.11111111111111
34,2017-10-18,14,16,0,2.0,4,18,6,7,2,16,12,7.666666666666667
35,2017-10-19,7,30,7,2.0,3,12,18,11,0,16,11,10.0
36,2017-10-20,15,30,7,1.0,4,6,12,4,2,17,13,9.0
37,2017-10-21,16,30,8,2.0,3,7,13,8,9,18,14,10.666666666666666
38,2017-10-22,0,30,15,1.0,5,20,20,8,2,18,12,11.222222222222221
39,2017-10-23,0,47,7,2.0,1,12,6,3,2,16,14,8.88888888888889
40,2017-10-24,7,38,7,2.0,0,24,23,7,8,23,15,12.88888888888889
