Category: All categories

Day,bitcoin banned: (Worldwide)
2017-09-15,37
2017-09-16,33
2017-09-17,0
2017-09-18,0
2017-09-19,0
2017-09-20,14
2017-09-21,7
2017-09-22,7
2017-09-23,8
2017-09-24,8
2017-09-25,0
2017-09-26,0
2017-09-27,14
2017-09-28,22
2017-09-29,15
2017-09-30,8
2017-10-01,8
2017-10-02,29
2017-10-03,7
2017-10-04,0
2017-10-05,22
2017-10-06,7
2017-10-07,16
2017-10-08,16
2017-10-09,0
2017-10-10,0
2017-10-11,14
2017-10-12,7
2017-10-13,7
2017-10-14,8
2017-10-15,32
2017-10-16,7
2017-10-17,28
2017-10-18,14
2017-10-19,7
2017-10-20,15
2017-10-21,16
2017-10-22,0
2017-10-23,0
2017-10-24,7
2017-10-25,7
2017-10-26,14
2017-10-27,7
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,0
2017-11-01,7
2017-11-02,36
2017-11-03,22
2017-11-04,8
2017-11-05,8
2017-11-06,7
2017-11-07,0
2017-11-08,14
2017-11-09,0
2017-11-10,22
2017-11-11,16
2017-11-12,39
2017-11-13,7
2017-11-14,34
2017-11-15,20
2017-11-16,21
2017-11-17,29
2017-11-18,23
2017-11-19,0
2017-11-20,7
2017-11-21,14
2017-11-22,7
2017-11-23,21
2017-11-24,7
2017-11-25,8
2017-11-26,8
2017-11-27,7
2017-11-28,20
2017-11-29,27
2017-11-30,35
2017-12-01,21
2017-12-02,16
2017-12-03,39
2017-12-04,41
2017-12-05,61
2017-12-06,28
2017-12-07,49
2017-12-08,51
2017-12-09,8
2017-12-10,31
2017-12-11,27
2017-12-12,54
2017-12-13,48
2017-12-14,35
2017-12-15,50
2017-12-16,48
2017-12-17,32
2017-12-18,28
2017-12-19,35
2017-12-20,72
2017-12-21,30
2017-12-22,39
2017-12-23,0
2017-12-24,36
2017-12-25,18
2017-12-26,23
2017-12-27,15
2017-12-28,45
2017-12-29,38
2017-12-30,33
2017-12-31,43
2018-01-01,9
2018-01-02,29
2018-01-03,7
2018-01-04,48
2018-01-05,28
2018-01-06,31
2018-01-07,31
2018-01-08,40
2018-01-09,0
2018-01-10,41
2018-01-11,34
2018-01-12,28
2018-01-13,15
2018-01-14,30
2018-01-15,34
2018-01-16,73
2018-01-17,53
2018-01-18,13
2018-01-19,49
2018-01-20,15
2018-01-21,22
2018-01-22,40
2018-01-23,13
2018-01-24,13
2018-01-25,13
2018-01-26,0
2018-01-27,15
2018-01-28,15
2018-01-29,27
2018-01-30,13
2018-01-31,27
2018-02-01,94
2018-02-02,55
2018-02-03,15
2018-02-04,23
2018-02-05,40
2018-02-06,100
2018-02-07,33
2018-02-08,34
2018-02-09,21
2018-02-10,15
2018-02-11,0
2018-02-12,7
2018-02-13,14
2018-02-14,7
2018-02-15,27
2018-02-16,0
2018-02-17,39
2018-02-18,0
2018-02-19,0
2018-02-20,20
2018-02-21,20
2018-02-22,7
2018-02-23,7
2018-02-24,15
2018-02-25,0
2018-02-26,7
2018-02-27,7
2018-02-28,6
2018-03-01,6
2018-03-02,0
2018-03-03,15
2018-03-04,0
2018-03-05,0
2018-03-06,6
2018-03-07,0
2018-03-08,13
2018-03-09,7
2018-03-10,0
2018-03-11,0
2018-03-12,13
2018-03-13,0
2018-03-14,20
2018-03-15,40
