Category: All categories

Day,bitcoin bubble: (Worldwide)
2017-09-15,9
2017-09-16,3
2017-09-17,2
2017-09-18,4
2017-09-19,4
2017-09-20,1
2017-09-21,4
2017-09-22,1
2017-09-23,2
2017-09-24,1
2017-09-25,3
2017-09-26,3
2017-09-27,3
2017-09-28,2
2017-09-29,1
2017-09-30,1
2017-10-01,3
2017-10-02,0
2017-10-03,1
2017-10-04,2
2017-10-05,1
2017-10-06,2
2017-10-07,3
2017-10-08,0
2017-10-09,2
2017-10-10,2
2017-10-11,<1
2017-10-12,6
2017-10-13,5
2017-10-14,3
2017-10-15,3
2017-10-16,3
2017-10-17,3
2017-10-18,2
2017-10-19,1
2017-10-20,5
2017-10-21,6
2017-10-22,5
2017-10-23,5
2017-10-24,2
2017-10-25,3
2017-10-26,4
2017-10-27,3
2017-10-28,2
2017-10-29,2
2017-10-30,2
2017-10-31,4
2017-11-01,7
2017-11-02,13
2017-11-03,16
2017-11-04,10
2017-11-05,11
2017-11-06,7
2017-11-07,8
2017-11-08,6
2017-11-09,10
2017-11-10,8
2017-11-11,13
2017-11-12,7
2017-11-13,4
2017-11-14,3
2017-11-15,6
2017-11-16,6
2017-11-17,10
2017-11-18,6
2017-11-19,4
2017-11-20,12
2017-11-21,10
2017-11-22,8
2017-11-23,5
2017-11-24,5
2017-11-25,6
2017-11-26,10
2017-11-27,30
2017-11-28,30
2017-11-29,70
2017-11-30,34
2017-12-01,26
2017-12-02,15
2017-12-03,35
2017-12-04,32
2017-12-05,28
2017-12-06,48
2017-12-07,100
2017-12-08,68
2017-12-09,42
2017-12-10,32
2017-12-11,42
2017-12-12,51
2017-12-13,42
2017-12-14,35
2017-12-15,27
2017-12-16,34
2017-12-17,32
2017-12-18,38
2017-12-19,35
2017-12-20,30
2017-12-21,28
2017-12-22,54
2017-12-23,26
2017-12-24,15
2017-12-25,15
2017-12-26,15
2017-12-27,14
2017-12-28,12
2017-12-29,9
2017-12-30,7
2017-12-31,8
2018-01-01,8
2018-01-02,12
2018-01-03,10
2018-01-04,16
2018-01-05,8
2018-01-06,7
2018-01-07,6
2018-01-08,10
2018-01-09,10
2018-01-10,9
2018-01-11,16
2018-01-12,12
2018-01-13,7
2018-01-14,6
2018-01-15,8
2018-01-16,21
2018-01-17,34
2018-01-18,18
2018-01-19,12
2018-01-20,7
2018-01-21,12
2018-01-22,11
2018-01-23,8
2018-01-24,5
2018-01-25,8
2018-01-26,7
2018-01-27,8
2018-01-28,6
2018-01-29,5
2018-01-30,5
2018-01-31,10
2018-02-01,13
2018-02-02,18
2018-02-03,4
2018-02-04,9
2018-02-05,21
2018-02-06,19
2018-02-07,10
2018-02-08,6
2018-02-09,7
2018-02-10,4
2018-02-11,6
2018-02-12,6
2018-02-13,1
2018-02-14,5
2018-02-15,4
2018-02-16,4
2018-02-17,4
2018-02-18,3
2018-02-19,1
2018-02-20,4
2018-02-21,2
2018-02-22,5
2018-02-23,2
2018-02-24,3
2018-02-25,3
2018-02-26,3
2018-02-27,4
2018-02-28,2
2018-03-01,1
2018-03-02,1
2018-03-03,2
2018-03-04,3
2018-03-05,3
2018-03-06,2
2018-03-07,1
2018-03-08,1
2018-03-09,2
2018-03-10,1
2018-03-11,3
2018-03-12,1
2018-03-13,4
2018-03-14,4
2018-03-15,6
