Category: All categories

Day,bitcoin CIA: (Worldwide)
2017-09-15,51
2017-09-16,29
2017-09-17,28
2017-09-18,25
2017-09-19,0
2017-09-20,0
2017-09-21,25
2017-09-22,0
2017-09-23,0
2017-09-24,28
2017-09-25,37
2017-09-26,0
2017-09-27,25
2017-09-28,25
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,49
2017-10-04,0
2017-10-05,25
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,0
2017-10-11,24
2017-10-12,25
2017-10-13,26
2017-10-14,57
2017-10-15,0
2017-10-16,24
2017-10-17,24
2017-10-18,0
2017-10-19,25
2017-10-20,0
2017-10-21,29
2017-10-22,27
2017-10-23,24
2017-10-24,24
2017-10-25,0
2017-10-26,25
2017-10-27,52
2017-10-28,0
2017-10-29,82
2017-10-30,24
2017-10-31,0
2017-11-01,75
2017-11-02,49
2017-11-03,25
2017-11-04,28
2017-11-05,27
2017-11-06,59
2017-11-07,0
2017-11-08,24
2017-11-09,24
2017-11-10,0
2017-11-11,28
2017-11-12,0
2017-11-13,0
2017-11-14,0
2017-11-15,24
2017-11-16,0
2017-11-17,25
2017-11-18,0
2017-11-19,0
2017-11-20,71
2017-11-21,48
2017-11-22,24
2017-11-23,24
2017-11-24,0
2017-11-25,0
2017-11-26,27
2017-11-27,46
2017-11-28,0
2017-11-29,35
2017-11-30,48
2017-12-01,37
2017-12-02,55
2017-12-03,0
2017-12-04,71
2017-12-05,47
2017-12-06,72
2017-12-07,60
2017-12-08,76
2017-12-09,42
2017-12-10,27
2017-12-11,71
2017-12-12,47
2017-12-13,47
2017-12-14,24
2017-12-15,62
2017-12-16,42
2017-12-17,55
2017-12-18,72
2017-12-19,49
2017-12-20,100
2017-12-21,0
2017-12-22,41
2017-12-23,74
2017-12-24,31
2017-12-25,61
2017-12-26,0
2017-12-27,26
2017-12-28,26
2017-12-29,27
2017-12-30,57
2017-12-31,60
2018-01-01,0
2018-01-02,0
2018-01-03,24
2018-01-04,0
2018-01-05,49
2018-01-06,27
2018-01-07,40
2018-01-08,23
2018-01-09,23
2018-01-10,35
2018-01-11,47
2018-01-12,24
2018-01-13,0
2018-01-14,26
2018-01-15,47
2018-01-16,35
2018-01-17,80
2018-01-18,35
2018-01-19,48
2018-01-20,66
2018-01-21,53
2018-01-22,23
2018-01-23,34
2018-01-24,0
2018-01-25,70
2018-01-26,0
2018-01-27,26
2018-01-28,53
2018-01-29,0
2018-01-30,46
2018-01-31,23
2018-02-01,0
2018-02-02,60
2018-02-03,53
2018-02-04,0
2018-02-05,46
2018-02-06,69
2018-02-07,23
2018-02-08,35
2018-02-09,0
2018-02-10,26
2018-02-11,26
2018-02-12,59
2018-02-13,24
2018-02-14,0
2018-02-15,23
2018-02-16,36
2018-02-17,27
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,0
2018-02-22,0
2018-02-23,24
2018-02-24,0
2018-02-25,26
2018-02-26,0
2018-02-27,0
2018-02-28,0
2018-03-01,22
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,22
2018-03-06,0
2018-03-07,23
2018-03-08,23
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,23
2018-03-13,0
2018-03-14,23
2018-03-15,46
