Category: All categories

Day,bitcoin collapse: (Worldwide)
2017-09-15,14
2017-09-16,0
2017-09-17,15
2017-09-18,7
2017-09-19,7
2017-09-20,0
2017-09-21,14
2017-09-22,0
2017-09-23,8
2017-09-24,8
2017-09-25,7
2017-09-26,7
2017-09-27,7
2017-09-28,7
2017-09-29,7
2017-09-30,0
2017-10-01,23
2017-10-02,7
2017-10-03,0
2017-10-04,7
2017-10-05,7
2017-10-06,7
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,13
2017-10-11,7
2017-10-12,14
2017-10-13,7
2017-10-14,16
2017-10-15,0
2017-10-16,0
2017-10-17,7
2017-10-18,0
2017-10-19,7
2017-10-20,7
2017-10-21,8
2017-10-22,15
2017-10-23,7
2017-10-24,7
2017-10-25,13
2017-10-26,0
2017-10-27,7
2017-10-28,0
2017-10-29,0
2017-10-30,7
2017-10-31,0
2017-11-01,21
2017-11-02,7
2017-11-03,0
2017-11-04,11
2017-11-05,11
2017-11-06,16
2017-11-07,13
2017-11-08,10
2017-11-09,10
2017-11-10,0
2017-11-11,0
2017-11-12,11
2017-11-13,13
2017-11-14,26
2017-11-15,20
2017-11-16,6
2017-11-17,7
2017-11-18,11
2017-11-19,22
2017-11-20,13
2017-11-21,13
2017-11-22,7
2017-11-23,7
2017-11-24,24
2017-11-25,7
2017-11-26,22
2017-11-27,32
2017-11-28,38
2017-11-29,52
2017-11-30,36
2017-12-01,24
2017-12-02,19
2017-12-03,15
2017-12-04,32
2017-12-05,19
2017-12-06,46
2017-12-07,53
2017-12-08,48
2017-12-09,8
2017-12-10,29
2017-12-11,23
2017-12-12,38
2017-12-13,33
2017-12-14,30
2017-12-15,24
2017-12-16,23
2017-12-17,45
2017-12-18,13
2017-12-19,30
2017-12-20,51
2017-12-21,28
2017-12-22,100
2017-12-23,48
2017-12-24,34
2017-12-25,17
2017-12-26,22
2017-12-27,11
2017-12-28,14
2017-12-29,11
2017-12-30,12
2017-12-31,16
2018-01-01,16
2018-01-02,0
2018-01-03,13
2018-01-04,16
2018-01-05,13
2018-01-06,26
2018-01-07,7
2018-01-08,10
2018-01-09,25
2018-01-10,10
2018-01-11,13
2018-01-12,13
2018-01-13,0
2018-01-14,7
2018-01-15,19
2018-01-16,57
2018-01-17,97
2018-01-18,45
2018-01-19,36
2018-01-20,25
2018-01-21,11
2018-01-22,9
2018-01-23,19
2018-01-24,19
2018-01-25,26
2018-01-26,20
2018-01-27,36
2018-01-28,15
2018-01-29,25
2018-01-30,16
2018-01-31,19
2018-02-01,19
2018-02-02,43
2018-02-03,18
2018-02-04,21
2018-02-05,47
2018-02-06,44
2018-02-07,16
2018-02-08,16
2018-02-09,13
2018-02-10,22
2018-02-11,15
2018-02-12,6
2018-02-13,0
2018-02-14,0
2018-02-15,19
2018-02-16,7
2018-02-17,0
2018-02-18,7
2018-02-19,9
2018-02-20,6
2018-02-21,12
2018-02-22,6
2018-02-23,7
2018-02-24,0
2018-02-25,7
2018-02-26,12
2018-02-27,0
2018-02-28,6
2018-03-01,6
2018-03-02,7
2018-03-03,7
2018-03-04,0
2018-03-05,12
2018-03-06,6
2018-03-07,13
2018-03-08,0
2018-03-09,0
2018-03-10,7
2018-03-11,7
2018-03-12,6
2018-03-13,0
2018-03-14,6
2018-03-15,22
