Category: All categories

Day,bitcoin crash: (Worldwide)
2017-09-15,7
2017-09-16,1
2017-09-17,2
2017-09-18,2
2017-09-19,2
2017-09-20,1
2017-09-21,1
2017-09-22,1
2017-09-23,1
2017-09-24,<1
2017-09-25,1
2017-09-26,1
2017-09-27,1
2017-09-28,1
2017-09-29,<1
2017-09-30,1
2017-10-01,<1
2017-10-02,1
2017-10-03,1
2017-10-04,1
2017-10-05,1
2017-10-06,1
2017-10-07,<1
2017-10-08,1
2017-10-09,1
2017-10-10,1
2017-10-11,1
2017-10-12,2
2017-10-13,3
2017-10-14,1
2017-10-15,2
2017-10-16,2
2017-10-17,2
2017-10-18,2
2017-10-19,2
2017-10-20,1
2017-10-21,2
2017-10-22,1
2017-10-23,2
2017-10-24,2
2017-10-25,1
2017-10-26,1
2017-10-27,1
2017-10-28,1
2017-10-29,1
2017-10-30,2
2017-10-31,2
2017-11-01,4
2017-11-02,6
2017-11-03,5
2017-11-04,4
2017-11-05,4
2017-11-06,3
2017-11-07,3
2017-11-08,3
2017-11-09,2
2017-11-10,5
2017-11-11,5
2017-11-12,8
2017-11-13,3
2017-11-14,2
2017-11-15,2
2017-11-16,2
2017-11-17,3
2017-11-18,2
2017-11-19,3
2017-11-20,3
2017-11-21,4
2017-11-22,3
2017-11-23,3
2017-11-24,2
2017-11-25,4
2017-11-26,7
2017-11-27,11
2017-11-28,13
2017-11-29,28
2017-11-30,19
2017-12-01,8
2017-12-02,7
2017-12-03,7
2017-12-04,8
2017-12-05,8
2017-12-06,20
2017-12-07,44
2017-12-08,30
2017-12-09,19
2017-12-10,16
2017-12-11,13
2017-12-12,15
2017-12-13,15
2017-12-14,10
2017-12-15,11
2017-12-16,18
2017-12-17,19
2017-12-18,13
2017-12-19,17
2017-12-20,27
2017-12-21,19
2017-12-22,100
2017-12-23,30
2017-12-24,18
2017-12-25,10
2017-12-26,8
2017-12-27,7
2017-12-28,8
2017-12-29,5
2017-12-30,10
2017-12-31,6
2018-01-01,5
2018-01-02,5
2018-01-03,4
2018-01-04,6
2018-01-05,5
2018-01-06,4
2018-01-07,3
2018-01-08,5
2018-01-09,5
2018-01-10,6
2018-01-11,8
2018-01-12,4
2018-01-13,2
2018-01-14,5
2018-01-15,3
2018-01-16,37
2018-01-17,50
2018-01-18,17
2018-01-19,10
2018-01-20,7
2018-01-21,7
2018-01-22,7
2018-01-23,6
2018-01-24,4
2018-01-25,3
2018-01-26,4
2018-01-27,3
2018-01-28,3
2018-01-29,3
2018-01-30,5
2018-01-31,7
2018-02-01,14
2018-02-02,29
2018-02-03,9
2018-02-04,8
2018-02-05,28
2018-02-06,35
2018-02-07,7
2018-02-08,7
2018-02-09,6
2018-02-10,4
2018-02-11,3
2018-02-12,3
2018-02-13,3
2018-02-14,2
2018-02-15,2
2018-02-16,1
2018-02-17,2
2018-02-18,3
2018-02-19,2
2018-02-20,2
2018-02-21,2
2018-02-22,2
2018-02-23,1
2018-02-24,1
2018-02-25,2
2018-02-26,2
2018-02-27,1
2018-02-28,1
2018-03-01,1
2018-03-02,1
2018-03-03,1
2018-03-04,1
2018-03-05,1
2018-03-06,1
2018-03-07,2
2018-03-08,3
2018-03-09,5
2018-03-10,2
2018-03-11,2
2018-03-12,2
2018-03-13,1
2018-03-14,4
2018-03-15,4
