Category: All categories

Day,bitcoin fail: (Worldwide)
2017-09-15,0
2017-09-16,9
2017-09-17,9
2017-09-18,0
2017-09-19,8
2017-09-20,16
2017-09-21,16
2017-09-22,8
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,8
2017-09-28,8
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,8
2017-10-04,0
2017-10-05,8
2017-10-06,0
2017-10-07,0
2017-10-08,9
2017-10-09,0
2017-10-10,8
2017-10-11,8
2017-10-12,8
2017-10-13,24
2017-10-14,9
2017-10-15,9
2017-10-16,0
2017-10-17,8
2017-10-18,8
2017-10-19,24
2017-10-20,0
2017-10-21,9
2017-10-22,9
2017-10-23,0
2017-10-24,0
2017-10-25,31
2017-10-26,0
2017-10-27,24
2017-10-28,0
2017-10-29,0
2017-10-30,8
2017-10-31,16
2017-11-01,16
2017-11-02,8
2017-11-03,8
2017-11-04,35
2017-11-05,8
2017-11-06,7
2017-11-07,7
2017-11-08,8
2017-11-09,15
2017-11-10,32
2017-11-11,9
2017-11-12,17
2017-11-13,22
2017-11-14,7
2017-11-15,22
2017-11-16,15
2017-11-17,8
2017-11-18,17
2017-11-19,17
2017-11-20,0
2017-11-21,37
2017-11-22,8
2017-11-23,8
2017-11-24,8
2017-11-25,9
2017-11-26,17
2017-11-27,7
2017-11-28,52
2017-11-29,75
2017-11-30,53
2017-12-01,47
2017-12-02,17
2017-12-03,43
2017-12-04,30
2017-12-05,15
2017-12-06,46
2017-12-07,100
2017-12-08,32
2017-12-09,18
2017-12-10,43
2017-12-11,22
2017-12-12,67
2017-12-13,38
2017-12-14,31
2017-12-15,47
2017-12-16,35
2017-12-17,61
2017-12-18,62
2017-12-19,31
2017-12-20,63
2017-12-21,73
2017-12-22,77
2017-12-23,66
2017-12-24,19
2017-12-25,10
2017-12-26,26
2017-12-27,41
2017-12-28,57
2017-12-29,42
2017-12-30,18
2017-12-31,19
2018-01-01,19
2018-01-02,55
2018-01-03,15
2018-01-04,30
2018-01-05,0
2018-01-06,8
2018-01-07,17
2018-01-08,22
2018-01-09,30
2018-01-10,37
2018-01-11,22
2018-01-12,31
2018-01-13,25
2018-01-14,17
2018-01-15,30
2018-01-16,51
2018-01-17,29
2018-01-18,7
2018-01-19,8
2018-01-20,8
2018-01-21,8
2018-01-22,22
2018-01-23,7
2018-01-24,14
2018-01-25,22
2018-01-26,30
2018-01-27,8
2018-01-28,17
2018-01-29,22
2018-01-30,14
2018-01-31,36
2018-02-01,7
2018-02-02,38
2018-02-03,8
2018-02-04,8
2018-02-05,36
2018-02-06,44
2018-02-07,29
2018-02-08,0
2018-02-09,15
2018-02-10,8
2018-02-11,17
2018-02-12,15
2018-02-13,0
2018-02-14,22
2018-02-15,0
2018-02-16,15
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,7
2018-02-21,22
2018-02-22,0
2018-02-23,0
2018-02-24,33
2018-02-25,0
2018-02-26,0
2018-02-27,14
2018-02-28,0
2018-03-01,21
2018-03-02,0
2018-03-03,0
2018-03-04,8
2018-03-05,7
2018-03-06,0
2018-03-07,7
2018-03-08,29
2018-03-09,15
2018-03-10,8
2018-03-11,0
2018-03-12,0
2018-03-13,7
2018-03-14,0
2018-03-15,0
