Category: All categories

Day,bitcoin fall: (Worldwide)
2017-09-15,18
2017-09-16,8
2017-09-17,2
2017-09-18,3
2017-09-19,0
2017-09-20,4
2017-09-21,4
2017-09-22,7
2017-09-23,3
2017-09-24,0
2017-09-25,1
2017-09-26,3
2017-09-27,4
2017-09-28,6
2017-09-29,0
2017-09-30,0
2017-10-01,2
2017-10-02,0
2017-10-03,3
2017-10-04,4
2017-10-05,1
2017-10-06,0
2017-10-07,2
2017-10-08,6
2017-10-09,3
2017-10-10,3
2017-10-11,3
2017-10-12,1
2017-10-13,6
2017-10-14,3
2017-10-15,5
2017-10-16,3
2017-10-17,6
2017-10-18,4
2017-10-19,3
2017-10-20,4
2017-10-21,3
2017-10-22,5
2017-10-23,1
2017-10-24,0
2017-10-25,3
2017-10-26,0
2017-10-27,3
2017-10-28,0
2017-10-29,3
2017-10-30,3
2017-10-31,3
2017-11-01,4
2017-11-02,6
2017-11-03,9
2017-11-04,2
2017-11-05,8
2017-11-06,8
2017-11-07,1
2017-11-08,5
2017-11-09,8
2017-11-10,7
2017-11-11,6
2017-11-12,14
2017-11-13,4
2017-11-14,4
2017-11-15,4
2017-11-16,1
2017-11-17,4
2017-11-18,6
2017-11-19,5
2017-11-20,4
2017-11-21,9
2017-11-22,4
2017-11-23,3
2017-11-24,3
2017-11-25,5
2017-11-26,9
2017-11-27,10
2017-11-28,20
2017-11-29,38
2017-11-30,28
2017-12-01,21
2017-12-02,14
2017-12-03,11
2017-12-04,8
2017-12-05,3
2017-12-06,17
2017-12-07,22
2017-12-08,29
2017-12-09,21
2017-12-10,17
2017-12-11,15
2017-12-12,15
2017-12-13,15
2017-12-14,8
2017-12-15,14
2017-12-16,10
2017-12-17,11
2017-12-18,10
2017-12-19,24
2017-12-20,33
2017-12-21,38
2017-12-22,100
2017-12-23,22
2017-12-24,21
2017-12-25,9
2017-12-26,12
2017-12-27,13
2017-12-28,6
2017-12-29,6
2017-12-30,11
2017-12-31,9
2018-01-01,2
2018-01-02,4
2018-01-03,3
2018-01-04,7
2018-01-05,4
2018-01-06,6
2018-01-07,3
2018-01-08,9
2018-01-09,3
2018-01-10,12
2018-01-11,11
2018-01-12,3
2018-01-13,2
2018-01-14,3
2018-01-15,0
2018-01-16,34
2018-01-17,52
2018-01-18,20
2018-01-19,12
2018-01-20,2
2018-01-21,15
2018-01-22,14
2018-01-23,8
2018-01-24,4
2018-01-25,4
2018-01-26,11
2018-01-27,3
2018-01-28,8
2018-01-29,5
2018-01-30,9
2018-01-31,11
2018-02-01,23
2018-02-02,25
2018-02-03,9
2018-02-04,10
2018-02-05,30
2018-02-06,25
2018-02-07,8
2018-02-08,7
2018-02-09,11
2018-02-10,3
2018-02-11,6
2018-02-12,4
2018-02-13,9
2018-02-14,1
2018-02-15,4
2018-02-16,4
2018-02-17,0
2018-02-18,3
2018-02-19,3
2018-02-20,9
2018-02-21,3
2018-02-22,3
2018-02-23,4
2018-02-24,3
2018-02-25,4
2018-02-26,3
2018-02-27,0
2018-02-28,3
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,1
2018-03-06,1
2018-03-07,4
2018-03-08,0
2018-03-09,11
2018-03-10,3
2018-03-11,1
2018-03-12,3
2018-03-13,1
2018-03-14,9
2018-03-15,11
