Category: All categories

Day,bitcoin idiots: (Worldwide)
2017-09-15,31
2017-09-16,0
2017-09-17,0
2017-09-18,0
2017-09-19,0
2017-09-20,0
2017-09-21,0
2017-09-22,31
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,32
2017-09-30,35
2017-10-01,0
2017-10-02,0
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,31
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,58
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-14,34
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,33
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,0
2017-11-01,30
2017-11-02,0
2017-11-03,0
2017-11-04,0
2017-11-05,32
2017-11-06,0
2017-11-07,0
2017-11-08,0
2017-11-09,0
2017-11-10,0
2017-11-11,0
2017-11-12,0
2017-11-13,0
2017-11-14,0
2017-11-15,0
2017-11-16,29
2017-11-17,0
2017-11-18,0
2017-11-19,64
2017-11-20,0
2017-11-21,29
2017-11-22,0
2017-11-23,0
2017-11-24,0
2017-11-25,0
2017-11-26,0
2017-11-27,28
2017-11-28,56
2017-11-29,100
2017-11-30,0
2017-12-01,59
2017-12-02,33
2017-12-03,33
2017-12-04,57
2017-12-05,0
2017-12-06,87
2017-12-07,29
2017-12-08,61
2017-12-09,67
2017-12-10,49
2017-12-11,28
2017-12-12,42
2017-12-13,57
2017-12-14,58
2017-12-15,30
2017-12-16,34
2017-12-17,0
2017-12-18,29
2017-12-19,44
2017-12-20,60
2017-12-21,31
2017-12-22,97
2017-12-23,71
2017-12-24,37
2017-12-25,0
2017-12-26,0
2017-12-27,0
2017-12-28,31
2017-12-29,32
2017-12-30,0
2017-12-31,36
2018-01-01,54
2018-01-02,60
2018-01-03,0
2018-01-04,0
2018-01-05,0
2018-01-06,0
2018-01-07,32
2018-01-08,0
2018-01-09,28
2018-01-10,0
2018-01-11,29
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,28
2018-01-16,28
2018-01-17,55
2018-01-18,0
2018-01-19,29
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,28
2018-01-24,0
2018-01-25,28
2018-01-26,0
2018-01-27,32
2018-01-28,0
2018-01-29,28
2018-01-30,0
2018-01-31,0
2018-02-01,28
2018-02-02,29
2018-02-03,0
2018-02-04,0
2018-02-05,28
2018-02-06,0
2018-02-07,28
2018-02-08,28
2018-02-09,0
2018-02-10,32
2018-02-11,32
2018-02-12,0
2018-02-13,0
2018-02-14,0
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,28
2018-02-21,28
2018-02-22,28
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,0
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,0
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,28
2018-03-14,0
2018-03-15,0
