Category: All categories

Day,bitcoin illegal: (Worldwide)
2017-09-15,18
2017-09-16,7
2017-09-17,20
2017-09-18,0
2017-09-19,18
2017-09-20,29
2017-09-21,24
2017-09-22,13
2017-09-23,14
2017-09-24,7
2017-09-25,6
2017-09-26,6
2017-09-27,12
2017-09-28,18
2017-09-29,6
2017-09-30,7
2017-10-01,7
2017-10-02,6
2017-10-03,0
2017-10-04,6
2017-10-05,12
2017-10-06,37
2017-10-07,27
2017-10-08,13
2017-10-09,6
2017-10-10,17
2017-10-11,17
2017-10-12,36
2017-10-13,12
2017-10-14,0
2017-10-15,14
2017-10-16,12
2017-10-17,0
2017-10-18,6
2017-10-19,18
2017-10-20,12
2017-10-21,13
2017-10-22,20
2017-10-23,6
2017-10-24,23
2017-10-25,17
2017-10-26,18
2017-10-27,18
2017-10-28,7
2017-10-29,26
2017-10-30,11
2017-10-31,18
2017-11-01,30
2017-11-02,30
2017-11-03,12
2017-11-04,7
2017-11-05,13
2017-11-06,17
2017-11-07,29
2017-11-08,6
2017-11-09,6
2017-11-10,48
2017-11-11,26
2017-11-12,33
2017-11-13,28
2017-11-14,11
2017-11-15,46
2017-11-16,17
2017-11-17,30
2017-11-18,7
2017-11-19,13
2017-11-20,28
2017-11-21,35
2017-11-22,6
2017-11-23,18
2017-11-24,12
2017-11-25,39
2017-11-26,26
2017-11-27,45
2017-11-28,17
2017-11-29,34
2017-11-30,12
2017-12-01,42
2017-12-02,26
2017-12-03,46
2017-12-04,45
2017-12-05,45
2017-12-06,23
2017-12-07,93
2017-12-08,92
2017-12-09,60
2017-12-10,58
2017-12-11,45
2017-12-12,45
2017-12-13,85
2017-12-14,58
2017-12-15,60
2017-12-16,67
2017-12-17,20
2017-12-18,58
2017-12-19,100
2017-12-20,60
2017-12-21,43
2017-12-22,26
2017-12-23,35
2017-12-24,30
2017-12-25,15
2017-12-26,26
2017-12-27,25
2017-12-28,31
2017-12-29,13
2017-12-30,54
2017-12-31,14
2018-01-01,14
2018-01-02,30
2018-01-03,40
2018-01-04,17
2018-01-05,47
2018-01-06,19
2018-01-07,26
2018-01-08,28
2018-01-09,17
2018-01-10,45
2018-01-11,40
2018-01-12,35
2018-01-13,45
2018-01-14,51
2018-01-15,22
2018-01-16,33
2018-01-17,38
2018-01-18,28
2018-01-19,17
2018-01-20,45
2018-01-21,38
2018-01-22,28
2018-01-23,28
2018-01-24,16
2018-01-25,33
2018-01-26,17
2018-01-27,13
2018-01-28,0
2018-01-29,38
2018-01-30,22
2018-01-31,11
2018-02-01,56
2018-02-02,69
2018-02-03,13
2018-02-04,43
2018-02-05,55
2018-02-06,22
2018-02-07,6
2018-02-08,6
2018-02-09,52
2018-02-10,19
2018-02-11,19
2018-02-12,51
2018-02-13,11
2018-02-14,39
2018-02-15,6
2018-02-16,23
2018-02-17,19
2018-02-18,13
2018-02-19,6
2018-02-20,16
2018-02-21,0
2018-02-22,17
2018-02-23,0
2018-02-24,13
2018-02-25,18
2018-02-26,16
2018-02-27,5
2018-02-28,11
2018-03-01,0
2018-03-02,28
2018-03-03,19
2018-03-04,6
2018-03-05,21
2018-03-06,11
2018-03-07,16
2018-03-08,11
2018-03-09,17
2018-03-10,0
2018-03-11,0
2018-03-12,16
2018-03-13,11
2018-03-14,5
2018-03-15,17
