Category: All categories

Day,bitcoin joke: (Worldwide)
2017-09-15,12
2017-09-16,0
2017-09-17,0
2017-09-18,12
2017-09-19,0
2017-09-20,0
2017-09-21,0
2017-09-22,12
2017-09-23,0
2017-09-24,0
2017-09-25,12
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,12
2017-10-04,0
2017-10-05,0
2017-10-06,12
2017-10-07,13
2017-10-08,0
2017-10-09,0
2017-10-10,0
2017-10-11,0
2017-10-12,0
2017-10-13,24
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,12
2017-10-18,0
2017-10-19,12
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,23
2017-11-01,12
2017-11-02,23
2017-11-03,12
2017-11-04,0
2017-11-05,0
2017-11-06,0
2017-11-07,0
2017-11-08,0
2017-11-09,0
2017-11-10,35
2017-11-11,0
2017-11-12,0
2017-11-13,11
2017-11-14,0
2017-11-15,0
2017-11-16,11
2017-11-17,12
2017-11-18,0
2017-11-19,13
2017-11-20,0
2017-11-21,0
2017-11-22,11
2017-11-23,0
2017-11-24,0
2017-11-25,13
2017-11-26,0
2017-11-27,0
2017-11-28,11
2017-11-29,45
2017-11-30,11
2017-12-01,23
2017-12-02,39
2017-12-03,13
2017-12-04,33
2017-12-05,0
2017-12-06,11
2017-12-07,23
2017-12-08,47
2017-12-09,39
2017-12-10,0
2017-12-11,100
2017-12-12,44
2017-12-13,56
2017-12-14,57
2017-12-15,47
2017-12-16,26
2017-12-17,78
2017-12-18,46
2017-12-19,46
2017-12-20,71
2017-12-21,36
2017-12-22,77
2017-12-23,42
2017-12-24,0
2017-12-25,14
2017-12-26,25
2017-12-27,24
2017-12-28,24
2017-12-29,37
2017-12-30,40
2017-12-31,14
2018-01-01,0
2018-01-02,12
2018-01-03,11
2018-01-04,11
2018-01-05,35
2018-01-06,0
2018-01-07,25
2018-01-08,11
2018-01-09,11
2018-01-10,33
2018-01-11,11
2018-01-12,34
2018-01-13,13
2018-01-14,25
2018-01-15,0
2018-01-16,0
2018-01-17,33
2018-01-18,0
2018-01-19,23
2018-01-20,12
2018-01-21,12
2018-01-22,11
2018-01-23,11
2018-01-24,32
2018-01-25,22
2018-01-26,11
2018-01-27,13
2018-01-28,13
2018-01-29,11
2018-01-30,11
2018-01-31,0
2018-02-01,0
2018-02-02,45
2018-02-03,13
2018-02-04,0
2018-02-05,0
2018-02-06,11
2018-02-07,0
2018-02-08,11
2018-02-09,0
2018-02-10,12
2018-02-11,37
2018-02-12,22
2018-02-13,0
2018-02-14,0
2018-02-15,11
2018-02-16,0
2018-02-17,0
2018-02-18,25
2018-02-19,0
2018-02-20,0
2018-02-21,11
2018-02-22,11
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,0
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,11
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,11
2018-03-13,0
2018-03-14,11
2018-03-15,22
