Category: All categories

Day,bitcoin ponzi: (Worldwide)
2017-09-15,7
2017-09-16,0
2017-09-17,8
2017-09-18,0
2017-09-19,3
2017-09-20,0
2017-09-21,4
2017-09-22,4
2017-09-23,12
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,7
2017-09-30,0
2017-10-01,4
2017-10-02,7
2017-10-03,3
2017-10-04,3
2017-10-05,7
2017-10-06,7
2017-10-07,4
2017-10-08,0
2017-10-09,3
2017-10-10,7
2017-10-11,7
2017-10-12,0
2017-10-13,14
2017-10-14,4
2017-10-15,0
2017-10-16,3
2017-10-17,3
2017-10-18,7
2017-10-19,11
2017-10-20,4
2017-10-21,8
2017-10-22,8
2017-10-23,3
2017-10-24,7
2017-10-25,7
2017-10-26,10
2017-10-27,0
2017-10-28,16
2017-10-29,8
2017-10-30,7
2017-10-31,7
2017-11-01,14
2017-11-02,14
2017-11-03,11
2017-11-04,4
2017-11-05,11
2017-11-06,20
2017-11-07,7
2017-11-08,17
2017-11-09,7
2017-11-10,4
2017-11-11,8
2017-11-12,0
2017-11-13,10
2017-11-14,0
2017-11-15,10
2017-11-16,17
2017-11-17,10
2017-11-18,0
2017-11-19,23
2017-11-20,17
2017-11-21,27
2017-11-22,17
2017-11-23,7
2017-11-24,7
2017-11-25,0
2017-11-26,19
2017-11-27,26
2017-11-28,23
2017-11-29,40
2017-11-30,35
2017-12-01,25
2017-12-02,23
2017-12-03,31
2017-12-04,20
2017-12-05,10
2017-12-06,24
2017-12-07,55
2017-12-08,61
2017-12-09,36
2017-12-10,19
2017-12-11,43
2017-12-12,30
2017-12-13,34
2017-12-14,59
2017-12-15,29
2017-12-16,40
2017-12-17,16
2017-12-18,34
2017-12-19,45
2017-12-20,32
2017-12-21,29
2017-12-22,38
2017-12-23,25
2017-12-24,18
2017-12-25,13
2017-12-26,19
2017-12-27,4
2017-12-28,22
2017-12-29,26
2017-12-30,36
2017-12-31,13
2018-01-01,21
2018-01-02,25
2018-01-03,14
2018-01-04,7
2018-01-05,17
2018-01-06,30
2018-01-07,4
2018-01-08,3
2018-01-09,3
2018-01-10,13
2018-01-11,17
2018-01-12,14
2018-01-13,19
2018-01-14,8
2018-01-15,13
2018-01-16,10
2018-01-17,100
2018-01-18,26
2018-01-19,24
2018-01-20,8
2018-01-21,22
2018-01-22,16
2018-01-23,10
2018-01-24,6
2018-01-25,26
2018-01-26,24
2018-01-27,22
2018-01-28,4
2018-01-29,23
2018-01-30,10
2018-01-31,23
2018-02-01,10
2018-02-02,27
2018-02-03,22
2018-02-04,4
2018-02-05,10
2018-02-06,36
2018-02-07,23
2018-02-08,17
2018-02-09,21
2018-02-10,8
2018-02-11,8
2018-02-12,10
2018-02-13,23
2018-02-14,0
2018-02-15,10
2018-02-16,3
2018-02-17,8
2018-02-18,4
2018-02-19,3
2018-02-20,10
2018-02-21,13
2018-02-22,13
2018-02-23,7
2018-02-24,7
2018-02-25,4
2018-02-26,3
2018-02-27,6
2018-02-28,3
2018-03-01,6
2018-03-02,3
2018-03-03,7
2018-03-04,7
2018-03-05,6
2018-03-06,0
2018-03-07,3
2018-03-08,3
2018-03-09,10
2018-03-10,0
2018-03-11,4
2018-03-12,3
2018-03-13,10
2018-03-14,0
2018-03-15,0
