Category: All categories

Day,bitcoin sucks: (Worldwide)
2017-09-15,0
2017-09-16,0
2017-09-17,0
2017-09-18,0
2017-09-19,54
2017-09-20,0
2017-09-21,0
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,0
2017-10-11,0
2017-10-12,28
2017-10-13,28
2017-10-14,0
2017-10-15,31
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,27
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,0
2017-11-01,28
2017-11-02,54
2017-11-03,0
2017-11-04,0
2017-11-05,29
2017-11-06,0
2017-11-07,0
2017-11-08,53
2017-11-09,27
2017-11-10,0
2017-11-11,30
2017-11-12,30
2017-11-13,52
2017-11-14,0
2017-11-15,26
2017-11-16,0
2017-11-17,0
2017-11-18,0
2017-11-19,0
2017-11-20,0
2017-11-21,0
2017-11-22,26
2017-11-23,0
2017-11-24,0
2017-11-25,0
2017-11-26,0
2017-11-27,25
2017-11-28,0
2017-11-29,26
2017-11-30,0
2017-12-01,0
2017-12-02,0
2017-12-03,30
2017-12-04,26
2017-12-05,0
2017-12-06,0
2017-12-07,54
2017-12-08,28
2017-12-09,0
2017-12-10,0
2017-12-11,52
2017-12-12,26
2017-12-13,0
2017-12-14,53
2017-12-15,55
2017-12-16,31
2017-12-17,0
2017-12-18,27
2017-12-19,54
2017-12-20,55
2017-12-21,0
2017-12-22,60
2017-12-23,65
2017-12-24,34
2017-12-25,0
2017-12-26,30
2017-12-27,0
2017-12-28,57
2017-12-29,0
2017-12-30,0
2017-12-31,33
2018-01-01,33
2018-01-02,27
2018-01-03,0
2018-01-04,53
2018-01-05,27
2018-01-06,30
2018-01-07,59
2018-01-08,26
2018-01-09,0
2018-01-10,0
2018-01-11,26
2018-01-12,0
2018-01-13,0
2018-01-14,29
2018-01-15,0
2018-01-16,0
2018-01-17,25
2018-01-18,26
2018-01-19,27
2018-01-20,0
2018-01-21,29
2018-01-22,0
2018-01-23,25
2018-01-24,25
2018-01-25,0
2018-01-26,53
2018-01-27,0
2018-01-28,29
2018-01-29,0
2018-01-30,0
2018-01-31,0
2018-02-01,51
2018-02-02,80
2018-02-03,29
2018-02-04,0
2018-02-05,0
2018-02-06,0
2018-02-07,0
2018-02-08,0
2018-02-09,27
2018-02-10,0
2018-02-11,0
2018-02-12,26
2018-02-13,0
2018-02-14,0
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,29
2018-02-19,25
2018-02-20,0
2018-02-21,100
2018-02-22,25
2018-02-23,26
2018-02-24,29
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,25
2018-03-01,25
2018-03-02,0
2018-03-03,29
2018-03-04,28
2018-03-05,0
2018-03-06,0
2018-03-07,0
2018-03-08,0
2018-03-09,27
2018-03-10,29
2018-03-11,29
2018-03-12,25
2018-03-13,0
2018-03-14,0
2018-03-15,26
