Category: All categories

Day,bitcoin trash: (Worldwide)
2017-09-15,27
2017-09-16,0
2017-09-17,29
2017-09-18,0
2017-09-19,0
2017-09-20,0
2017-09-21,0
2017-09-22,27
2017-09-23,30
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,27
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,0
2017-10-10,25
2017-10-11,25
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,26
2017-10-20,27
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,0
2017-10-25,25
2017-10-26,0
2017-10-27,0
2017-10-28,29
2017-10-29,0
2017-10-30,0
2017-10-31,25
2017-11-01,26
2017-11-02,26
2017-11-03,26
2017-11-04,28
2017-11-05,27
2017-11-06,0
2017-11-07,0
2017-11-08,0
2017-11-09,25
2017-11-10,0
2017-11-11,0
2017-11-12,28
2017-11-13,49
2017-11-14,25
2017-11-15,0
2017-11-16,0
2017-11-17,25
2017-11-18,0
2017-11-19,27
2017-11-20,0
2017-11-21,25
2017-11-22,0
2017-11-23,26
2017-11-24,76
2017-11-25,28
2017-11-26,28
2017-11-27,24
2017-11-28,0
2017-11-29,49
2017-11-30,25
2017-12-01,51
2017-12-02,28
2017-12-03,28
2017-12-04,24
2017-12-05,96
2017-12-06,25
2017-12-07,100
2017-12-08,78
2017-12-09,0
2017-12-10,28
2017-12-11,85
2017-12-12,60
2017-12-13,25
2017-12-14,0
2017-12-15,0
2017-12-16,29
2017-12-17,43
2017-12-18,25
2017-12-19,76
2017-12-20,65
2017-12-21,40
2017-12-22,42
2017-12-23,91
2017-12-24,32
2017-12-25,48
2017-12-26,42
2017-12-27,53
2017-12-28,27
2017-12-29,41
2017-12-30,0
2017-12-31,93
2018-01-01,31
2018-01-02,26
2018-01-03,0
2018-01-04,25
2018-01-05,25
2018-01-06,28
2018-01-07,28
2018-01-08,24
2018-01-09,24
2018-01-10,0
2018-01-11,0
2018-01-12,25
2018-01-13,55
2018-01-14,27
2018-01-15,0
2018-01-16,48
2018-01-17,35
2018-01-18,24
2018-01-19,0
2018-01-20,55
2018-01-21,27
2018-01-22,24
2018-01-23,24
2018-01-24,24
2018-01-25,0
2018-01-26,50
2018-01-27,27
2018-01-28,27
2018-01-29,0
2018-01-30,24
2018-01-31,0
2018-02-01,24
2018-02-02,25
2018-02-03,41
2018-02-04,27
2018-02-05,0
2018-02-06,48
2018-02-07,0
2018-02-08,36
2018-02-09,25
2018-02-10,0
2018-02-11,0
2018-02-12,24
2018-02-13,0
2018-02-14,24
2018-02-15,0
2018-02-16,37
2018-02-17,0
2018-02-18,27
2018-02-19,0
2018-02-20,0
2018-02-21,47
2018-02-22,24
2018-02-23,37
2018-02-24,0
2018-02-25,27
2018-02-26,23
2018-02-27,0
2018-02-28,0
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,0
2018-03-05,0
2018-03-06,0
2018-03-07,0
2018-03-08,0
2018-03-09,25
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,0
2018-03-14,0
2018-03-15,24
