Category: All categories

Day,bitcoin worthless: (Worldwide)
2017-09-15,0
2017-09-16,0
2017-09-17,0
2017-09-18,0
2017-09-19,0
2017-09-20,0
2017-09-21,0
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,0
2017-09-29,0
2017-09-30,0
2017-10-01,0
2017-10-02,0
2017-10-03,0
2017-10-04,30
2017-10-05,0
2017-10-06,0
2017-10-07,0
2017-10-08,0
2017-10-09,30
2017-10-10,0
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,0
2017-10-17,30
2017-10-18,0
2017-10-19,0
2017-10-20,0
2017-10-21,0
2017-10-22,34
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,0
2017-11-01,0
2017-11-02,61
2017-11-03,31
2017-11-04,0
2017-11-05,0
2017-11-06,0
2017-11-07,0
2017-11-08,0
2017-11-09,0
2017-11-10,0
2017-11-11,34
2017-11-12,0
2017-11-13,0
2017-11-14,0
2017-11-15,0
2017-11-16,29
2017-11-17,0
2017-11-18,0
2017-11-19,0
2017-11-20,0
2017-11-21,0
2017-11-22,0
2017-11-23,0
2017-11-24,0
2017-11-25,0
2017-11-26,33
2017-11-27,28
2017-11-28,0
2017-11-29,29
2017-11-30,30
2017-12-01,61
2017-12-02,34
2017-12-03,67
2017-12-04,0
2017-12-05,0
2017-12-06,30
2017-12-07,60
2017-12-08,93
2017-12-09,69
2017-12-10,100
2017-12-11,0
2017-12-12,58
2017-12-13,59
2017-12-14,60
2017-12-15,61
2017-12-16,0
2017-12-17,34
2017-12-18,30
2017-12-19,0
2017-12-20,0
2017-12-21,63
2017-12-22,67
2017-12-23,0
2017-12-24,0
2017-12-25,75
2017-12-26,0
2017-12-27,95
2017-12-28,0
2017-12-29,0
2017-12-30,0
2017-12-31,0
2018-01-01,0
2018-01-02,92
2018-01-03,0
2018-01-04,0
2018-01-05,30
2018-01-06,33
2018-01-07,33
2018-01-08,0
2018-01-09,29
2018-01-10,58
2018-01-11,29
2018-01-12,30
2018-01-13,0
2018-01-14,65
2018-01-15,0
2018-01-16,57
2018-01-17,0
2018-01-18,0
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,29
2018-01-27,0
2018-01-28,33
2018-01-29,57
2018-01-30,0
2018-01-31,0
2018-02-01,0
2018-02-02,0
2018-02-03,0
2018-02-04,32
2018-02-05,57
2018-02-06,0
2018-02-07,0
2018-02-08,0
2018-02-09,0
2018-02-10,0
2018-02-11,32
2018-02-12,0
2018-02-13,0
2018-02-14,0
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,28
2018-02-22,0
2018-02-23,0
2018-02-24,0
2018-02-25,0
2018-02-26,0
2018-02-27,0
2018-02-28,28
2018-03-01,0
2018-03-02,0
2018-03-03,0
2018-03-04,63
2018-03-05,0
2018-03-06,28
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,0
2018-03-13,0
2018-03-14,56
2018-03-15,57
