Category: All categories

Day,bitcoin tulip: (Worldwide)
2017-09-15,5
2017-09-16,4
2017-09-17,4
2017-09-18,7
2017-09-19,4
2017-09-20,4
2017-09-21,2
2017-09-22,0
2017-09-23,5
2017-09-24,3
2017-09-25,4
2017-09-26,0
2017-09-27,4
2017-09-28,2
2017-09-29,2
2017-09-30,3
2017-10-01,3
2017-10-02,0
2017-10-03,2
2017-10-04,0
2017-10-05,2
2017-10-06,3
2017-10-07,0
2017-10-08,2
2017-10-09,2
2017-10-10,4
2017-10-11,2
2017-10-12,6
2017-10-13,5
2017-10-14,4
2017-10-15,8
2017-10-16,5
2017-10-17,3
2017-10-18,2
2017-10-19,0
2017-10-20,2
2017-10-21,9
2017-10-22,2
2017-10-23,2
2017-10-24,8
2017-10-25,3
2017-10-26,2
2017-10-27,2
2017-10-28,3
2017-10-29,5
2017-10-30,6
2017-10-31,2
2017-11-01,0
2017-11-02,12
2017-11-03,10
2017-11-04,7
2017-11-05,5
2017-11-06,11
2017-11-07,4
2017-11-08,9
2017-11-09,3
2017-11-10,6
2017-11-11,5
2017-11-12,2
2017-11-13,4
2017-11-14,4
2017-11-15,6
2017-11-16,8
2017-11-17,6
2017-11-18,0
2017-11-19,5
2017-11-20,8
2017-11-21,11
2017-11-22,11
2017-11-23,4
2017-11-24,4
2017-11-25,6
2017-11-26,11
2017-11-27,31
2017-11-28,29
2017-11-29,54
2017-11-30,31
2017-12-01,27
2017-12-02,13
2017-12-03,15
2017-12-04,15
2017-12-05,25
2017-12-06,27
2017-12-07,100
2017-12-08,74
2017-12-09,32
2017-12-10,29
2017-12-11,43
2017-12-12,54
2017-12-13,36
2017-12-14,36
2017-12-15,26
2017-12-16,49
2017-12-17,30
2017-12-18,27
2017-12-19,28
2017-12-20,22
2017-12-21,28
2017-12-22,35
2017-12-23,12
2017-12-24,14
2017-12-25,14
2017-12-26,4
2017-12-27,14
2017-12-28,14
2017-12-29,7
2017-12-30,13
2017-12-31,5
2018-01-01,5
2018-01-02,12
2018-01-03,8
2018-01-04,3
2018-01-05,9
2018-01-06,7
2018-01-07,10
2018-01-08,5
2018-01-09,6
2018-01-10,7
2018-01-11,8
2018-01-12,8
2018-01-13,4
2018-01-14,4
2018-01-15,3
2018-01-16,14
2018-01-17,16
2018-01-18,7
2018-01-19,9
2018-01-20,10
2018-01-21,7
2018-01-22,7
2018-01-23,7
2018-01-24,4
2018-01-25,4
2018-01-26,8
2018-01-27,5
2018-01-28,5
2018-01-29,4
2018-01-30,4
2018-01-31,6
2018-02-01,8
2018-02-02,9
2018-02-03,12
2018-02-04,5
2018-02-05,16
2018-02-06,21
2018-02-07,8
2018-02-08,7
2018-02-09,4
2018-02-10,0
2018-02-11,0
2018-02-12,4
2018-02-13,4
2018-02-14,4
2018-02-15,4
2018-02-16,0
2018-02-17,10
2018-02-18,2
2018-02-19,0
2018-02-20,4
2018-02-21,0
2018-02-22,3
2018-02-23,2
2018-02-24,2
2018-02-25,2
2018-02-26,0
2018-02-27,2
2018-02-28,5
2018-03-01,2
2018-03-02,2
2018-03-03,2
2018-03-04,0
2018-03-05,0
2018-03-06,2
2018-03-07,0
2018-03-08,4
2018-03-09,6
2018-03-10,2
2018-03-11,0
2018-03-12,2
2018-03-13,2
2018-03-14,2
2018-03-15,2
