Category: All categories

Day,bitcoin: (Worldwide)
2017-09-15,18
2017-09-16,12
2017-09-17,10
2017-09-18,11
2017-09-19,11
2017-09-20,9
2017-09-21,10
2017-09-22,9
2017-09-23,7
2017-09-24,7
2017-09-25,8
2017-09-26,8
2017-09-27,8
2017-09-28,8
2017-09-29,8
2017-09-30,7
2017-10-01,7
2017-10-02,8
2017-10-03,8
2017-10-04,7
2017-10-05,8
2017-10-06,7
2017-10-07,7
2017-10-08,8
2017-10-09,9
2017-10-10,10
2017-10-11,9
2017-10-12,15
2017-10-13,18
2017-10-14,12
2017-10-15,11
2017-10-16,11
2017-10-17,11
2017-10-18,12
2017-10-19,11
2017-10-20,13
2017-10-21,14
2017-10-22,12
2017-10-23,14
2017-10-24,15
2017-10-25,13
2017-10-26,13
2017-10-27,11
2017-10-28,10
2017-10-29,10
2017-10-30,13
2017-10-31,14
2017-11-01,18
2017-11-02,24
2017-11-03,21
2017-11-04,17
2017-11-05,17
2017-11-06,17
2017-11-07,16
2017-11-08,18
2017-11-09,16
2017-11-10,20
2017-11-11,19
2017-11-12,24
2017-11-13,22
2017-11-14,17
2017-11-15,17
2017-11-16,18
2017-11-17,20
2017-11-18,15
2017-11-19,15
2017-11-20,19
2017-11-21,20
2017-11-22,17
2017-11-23,16
2017-11-24,15
2017-11-25,16
2017-11-26,24
2017-11-27,33
2017-11-28,37
2017-11-29,61
2017-11-30,50
2017-12-01,37
2017-12-02,30
2017-12-03,31
2017-12-04,35
2017-12-05,36
2017-12-06,47
2017-12-07,96
2017-12-08,87
2017-12-09,57
2017-12-10,54
2017-12-11,64
2017-12-12,58
2017-12-13,53
2017-12-14,47
2017-12-15,43
2017-12-16,41
2017-12-17,47
2017-12-18,48
2017-12-19,50
2017-12-20,66
2017-12-21,52
2017-12-22,100
2017-12-23,63
2017-12-24,48
2017-12-25,40
2017-12-26,40
2017-12-27,38
2017-12-28,38
2017-12-29,32
2017-12-30,33
2017-12-31,27
2018-01-01,26
2018-01-02,31
2018-01-03,31
2018-01-04,30
2018-01-05,30
2018-01-06,25
2018-01-07,27
2018-01-08,29
2018-01-09,28
2018-01-10,29
2018-01-11,32
2018-01-12,27
2018-01-13,23
2018-01-14,21
2018-01-15,22
2018-01-16,43
2018-01-17,57
2018-01-18,40
2018-01-19,29
2018-01-20,24
2018-01-21,23
2018-01-22,26
2018-01-23,25
2018-01-24,23
2018-01-25,22
2018-01-26,23
2018-01-27,19
2018-01-28,18
2018-01-29,18
2018-01-30,21
2018-01-31,22
2018-02-01,29
2018-02-02,38
2018-02-03,25
2018-02-04,21
2018-02-05,37
2018-02-06,46
2018-02-07,30
2018-02-08,24
2018-02-09,22
2018-02-10,18
2018-02-11,16
2018-02-12,18
2018-02-13,16
2018-02-14,16
2018-02-15,18
2018-02-16,16
2018-02-17,15
2018-02-18,16
2018-02-19,15
2018-02-20,16
2018-02-21,16
2018-02-22,15
2018-02-23,14
2018-02-24,12
2018-02-25,11
2018-02-26,13
2018-02-27,13
2018-02-28,12
2018-03-01,11
2018-03-02,11
2018-03-03,11
2018-03-04,10
2018-03-05,11
2018-03-06,11
2018-03-07,13
2018-03-08,13
2018-03-09,14
2018-03-10,10
2018-03-11,10
2018-03-12,11
2018-03-13,10
2018-03-14,12
2018-03-15,14
