Date,price,volume
2017-09-15,3698.92,169361.61
2017-09-16,3689.61,96068.08
2017-09-17,4100.28,147927.08
2017-09-18,3907.96,123214.81
2017-09-19,3882.16,86645.15
2017-09-20,3617.27,145124.78
2017-09-21,3600.83,114717.36
2017-09-22,3788.02,67820.32
2017-09-23,3667.52,49661.76
2017-09-24,3932.83,100194.7
2017-09-25,3892.7,63252.3
2017-09-26,4212.2,117596.07
2017-09-27,4195.65,92228.17
2017-09-28,4172.79,97803.91
2017-09-29,4360.62,67493.68
2017-09-30,4403.09,60583.85
2017-10-01,4401.32,71201.48
2017-10-02,4314.18,81867.3
2017-10-03,4218.66,64081.96
2017-10-04,4321.44,63613.2
2017-10-05,4371.94,61692.93
2017-10-06,4435.81,40202.08
2017-10-07,4611.7,71366.95
2017-10-08,4777.49,110191.77
2017-10-09,4763.36,98485.0
2017-10-10,4824.2,70482.75
2017-10-11,5432.62,163916.09
2017-10-12,5637.26,215018.92
2017-10-13,5824.71,76224.35
2017-10-14,5688.14,101636.95
2017-10-15,5759.33,61358.95
2017-10-16,5598.58,65637.43
2017-10-17,5575.83,122020.31
2017-10-18,5698.65,83056.09
2017-10-19,5993.11,123860.51
2017-10-20,6006.65,112943.89
2017-10-21,5982.86,105030.93
2017-10-22,5903.61,137140.4
2017-10-23,5513.08,143735.81
2017-10-24,5734.0,105839.48
2017-10-25,5887.61,93675.55
2017-10-26,5764.56,83933.5
2017-10-27,5726.61,53232.17
2017-10-28,6147.52,163055.75
2017-10-29,6124.28,78624.31
2017-10-30,6451.24,101249.62
2017-10-31,6737.78,133191.93
2017-11-01,7024.81,238796.19
2017-11-02,7152.12,154886.75
2017-11-03,7363.8,106602.67
2017-11-04,7389.55,105727.2
2017-11-05,6959.23,159688.48
2017-11-06,7102.75,101044.57
2017-11-07,7444.36,220224.38
2017-11-08,7129.59,126769.9
2017-11-09,6565.8,222001.18
2017-11-10,6339.86,135719.07
2017-11-11,5878.13,269832.87
2017-11-12,6522.45,178340.89
2017-11-13,6597.06,96502.09
2017-11-14,7283.22,131120.23
2017-11-15,7853.68,133937.8
2017-11-16,7699.95,117347.03
2017-11-17,7780.91,74382.12
2017-11-18,8042.64,68618.85
2017-11-19,8244.69,75703.64
2017-11-20,8099.97,115454.28
2017-11-21,8234.55,65811.68
2017-11-22,8013.41,68010.7
2017-11-23,8200.8,72994.63
2017-11-24,8754.69,84670.41
2017-11-25,9318.42,85891.98
2017-11-26,9733.2,106902.79
2017-11-27,9906.04,87754.89
2017-11-28,9837.86,233325.32
2017-11-29,9946.76,187008.87
2017-11-30,10861.47,131918.85
2017-12-01,10912.73,86825.51
2017-12-02,11246.21,122125.7
2017-12-03,11623.91,93173.9
2017-12-04,11667.13,89687.21
2017-12-05,13749.57,191576.66
2017-12-06,16850.31,297108.66
2017-12-07,16047.61,286762.02
2017-12-08,14843.42,181979.81
2017-12-09,15059.6,201620.09
2017-12-10,16732.47,159724.56
2017-12-11,17083.9,132846.57
2017-12-12,16286.82,155407.35
2017-12-13,16467.91,107918.03
2017-12-14,17604.85,153651.15
2017-12-15,19345.49,112173.97
2017-12-16,19065.71,117408.38
2017-12-17,18972.32,139251.39
2017-12-18,17523.7,174543.37
2017-12-19,16461.97,227676.13
2017-12-20,15632.12,163735.02
2017-12-21,13664.97,466980.6
2017-12-22,14396.46,170169.39
2017-12-23,13789.95,182417.29
2017-12-24,13833.49,107475.98
2017-12-25,15756.56,143135.26
2017-12-26,15416.64,138705.28
2017-12-27,14398.7,170366.63
2017-12-28,14392.57,118874.63
2017-12-29,12531.52,182065.44
2017-12-30,13850.4,111270.55
2017-12-31,13444.88,78425.21
2018-01-01,14754.13,137732.17
2018-01-02,15156.62,106543.39
2018-01-03,15180.08,110968.82
2018-01-04,16954.78,141960.42
2018-01-05,17172.3,83927.99
2018-01-06,16228.16,79006.37
2018-01-07,14976.17,142453.96
2018-01-08,14468.5,99730.65
2018-01-09,14919.49,142303.9
2018-01-10,13308.06,173452.27
2018-01-11,13841.19,102068.02
2018-01-12,14243.12,71300.93
2018-01-13,13638.63,81536.0
2018-01-14,13631.98,84089.84
2018-01-15,11282.49,325702.79
2018-01-16,11162.7,348631.94
2018-01-17,11175.52,204918.02
2018-01-18,11521.76,110885.87
2018-01-19,12783.94,119084.84
2018-01-20,11549.93,130427.64
2018-01-21,10814.52,165723.08
2018-01-22,10858.23,158868.59
2018-01-23,11429.02,115804.82
2018-01-24,11175.87,93317.76
2018-01-25,11104.2,142350.84
2018-01-26,11459.71,90873.81
2018-01-27,11767.74,87917.22
2018-01-28,11233.95,80713.7
2018-01-29,10107.26,164072.93
2018-01-30,10226.86,122260.49
2018-01-31,9114.72,208918.8
2018-02-01,8870.82,322596.22
2018-02-02,9251.27,139226.07
2018-02-03,8218.05,164609.06
2018-02-04,6937.08,341828.54
2018-02-05,7701.25,495883.24
2018-02-06,7592.72,271450.37
2018-02-07,8260.69,193040.33
2018-02-08,8696.83,162279.68
2018-02-09,8569.29,155616.78
2018-02-10,8084.61,123293.84
2018-02-11,8911.27,124923.98
2018-02-12,8544.69,98632.88
2018-02-13,9485.64,133702.54
2018-02-14,10033.75,168776.78
2018-02-15,10188.73,105556.67
2018-02-16,11097.21,123660.48
2018-02-17,10417.23,154431.22
2018-02-18,11182.28,108244.29
2018-02-19,11256.43,142449.23
2018-02-20,10481.66,183274.25
2018-02-21,9847.96,175506.26
2018-02-22,10175.51,139373.76
2018-02-23,9705.73,125269.68
2018-02-24,9610.11,82430.45
2018-02-25,10326.5,117416.47
2018-02-26,10594.76,99772.39
2018-02-27,10334.44,105434.79
2018-02-28,10929.37,88432.44
2018-03-01,11043.12,77195.49
2018-03-02,11465.36,71279.36
2018-03-03,11504.42,61016.39
2018-03-04,11440.73,68323.51
2018-03-05,10735.45,109876.55
2018-03-06,9928.56,183060.08
2018-03-07,9316.72,154879.22
2018-03-08,9252.76,233598.15
2018-03-09,8797.27,117409.38
2018-03-10,9544.84,149877.66
2018-03-11,9142.15,152959.8
2018-03-12,9160.12,133768.47
2018-03-13,8217.7,161775.05
2018-03-14,8268.41,187365.71
2018-03-15,8283.23,129688.11
2018-03-16,7883.45,111641.32
2018-03-17,8215.4,198796.34
2018-03-18,8623.14,171829.52
2018-03-19,8920.71,131959.66
2018-03-20,8911.35,109985.22
2018-03-21,8724.98,116522.98
2018-03-22,8934.8,109649.39
2018-03-23,8548.06,93296.24
2018-03-24,8472.84,76775.64
2018-03-25,8152.2,131859.97
2018-03-26,7808.48,116523.1
2018-03-27,7959.78,82590.62
2018-03-28,7106.62,185805.88
2018-03-29,6853.76,229837.79
2018-03-30,6952.63,124007.81
