Category: All categories

Day,bitcoin kraken: (Worldwide)
2017-09-15,13
2017-09-16,9
2017-09-17,11
2017-09-18,12
2017-09-19,17
2017-09-20,9
2017-09-21,10
2017-09-22,7
2017-09-23,4
2017-09-24,5
2017-09-25,9
2017-09-26,14
2017-09-27,11
2017-09-28,10
2017-09-29,5
2017-09-30,7
2017-10-01,8
2017-10-02,8
2017-10-03,11
2017-10-04,12
2017-10-05,5
2017-10-06,11
2017-10-07,3
2017-10-08,6
2017-10-09,12
2017-10-10,15
2017-10-11,11
2017-10-12,23
2017-10-13,25
2017-10-14,19
2017-10-15,14
2017-10-16,22
2017-10-17,19
2017-10-18,17
2017-10-19,23
2017-10-20,29
2017-10-21,20
2017-10-22,30
2017-10-23,32
2017-10-24,36
2017-10-25,17
2017-10-26,17
2017-10-27,10
2017-10-28,12
2017-10-29,18
2017-10-30,11
2017-10-31,16
2017-11-01,27
2017-11-02,34
2017-11-03,28
2017-11-04,17
2017-11-05,23
2017-11-06,19
2017-11-07,23
2017-11-08,22
2017-11-09,21
2017-11-10,38
2017-11-11,37
2017-11-12,40
2017-11-13,30
2017-11-14,18
2017-11-15,27
2017-11-16,25
2017-11-17,21
2017-11-18,21
2017-11-19,22
2017-11-20,20
2017-11-21,27
2017-11-22,23
2017-11-23,25
2017-11-24,14
2017-11-25,32
2017-11-26,38
2017-11-27,45
2017-11-28,36
2017-11-29,90
2017-11-30,47
2017-12-01,29
2017-12-02,24
2017-12-03,34
2017-12-04,29
2017-12-05,43
2017-12-06,63
2017-12-07,100
2017-12-08,68
2017-12-09,53
2017-12-10,41
2017-12-11,49
2017-12-12,73
2017-12-13,89
2017-12-14,65
2017-12-15,69
2017-12-16,47
2017-12-17,58
2017-12-18,48
2017-12-19,74
2017-12-20,88
2017-12-21,71
2017-12-22,86
2017-12-23,39
2017-12-24,44
2017-12-25,31
2017-12-26,30
2017-12-27,35
2017-12-28,45
2017-12-29,48
2017-12-30,49
2017-12-31,45
2018-01-01,29
2018-01-02,45
2018-01-03,63
2018-01-04,71
2018-01-05,53
2018-01-06,44
2018-01-07,37
2018-01-08,37
2018-01-09,27
2018-01-10,35
2018-01-11,43
2018-01-12,50
2018-01-13,55
2018-01-14,28
2018-01-15,19
2018-01-16,26
2018-01-17,28
2018-01-18,28
2018-01-19,24
2018-01-20,16
2018-01-21,13
2018-01-22,15
2018-01-23,12
2018-01-24,11
2018-01-25,9
2018-01-26,8
2018-01-27,7
2018-01-28,12
2018-01-29,12
2018-01-30,8
2018-01-31,9
2018-02-01,10
2018-02-02,14
2018-02-03,6
2018-02-04,11
2018-02-05,11
2018-02-06,13
2018-02-07,13
2018-02-08,9
2018-02-09,11
2018-02-10,7
2018-02-11,5
2018-02-12,9
2018-02-13,6
2018-02-14,9
2018-02-15,10
2018-02-16,10
2018-02-17,11
2018-02-18,12
2018-02-19,6
2018-02-20,7
2018-02-21,7
2018-02-22,7
2018-02-23,4
2018-02-24,5
2018-02-25,5
2018-02-26,7
2018-02-27,9
2018-02-28,6
2018-03-01,2
2018-03-02,7
2018-03-03,6
2018-03-04,4
2018-03-05,3
2018-03-06,4
2018-03-07,4
2018-03-08,3
2018-03-09,6
2018-03-10,8
2018-03-11,7
2018-03-12,5
2018-03-13,1
2018-03-14,5
2018-03-15,3
