Category: All categories

Day,bitcoin assets: (Worldwide)
2017-09-15,19
2017-09-16,0
2017-09-17,31
2017-09-18,19
2017-09-19,37
2017-09-20,0
2017-09-21,28
2017-09-22,19
2017-09-23,0
2017-09-24,0
2017-09-25,18
2017-09-26,18
2017-09-27,37
2017-09-28,19
2017-09-29,0
2017-09-30,22
2017-10-01,21
2017-10-02,18
2017-10-03,0
2017-10-04,28
2017-10-05,38
2017-10-06,19
2017-10-07,0
2017-10-08,21
2017-10-09,18
2017-10-10,0
2017-10-11,55
2017-10-12,19
2017-10-13,19
2017-10-14,21
2017-10-15,42
2017-10-16,28
2017-10-17,36
2017-10-18,18
2017-10-19,28
2017-10-20,39
2017-10-21,0
2017-10-22,0
2017-10-23,36
2017-10-24,18
2017-10-25,36
2017-10-26,18
2017-10-27,38
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,18
2017-11-01,18
2017-11-02,37
2017-11-03,56
2017-11-04,21
2017-11-05,30
2017-11-06,44
2017-11-07,0
2017-11-08,36
2017-11-09,18
2017-11-10,19
2017-11-11,21
2017-11-12,41
2017-11-13,27
2017-11-14,0
2017-11-15,18
2017-11-16,18
2017-11-17,0
2017-11-18,20
2017-11-19,40
2017-11-20,35
2017-11-21,27
2017-11-22,18
2017-11-23,18
2017-11-24,0
2017-11-25,41
2017-11-26,20
2017-11-27,52
2017-11-28,35
2017-11-29,62
2017-11-30,0
2017-12-01,28
2017-12-02,20
2017-12-03,20
2017-12-04,88
2017-12-05,62
2017-12-06,72
2017-12-07,81
2017-12-08,95
2017-12-09,73
2017-12-10,30
2017-12-11,53
2017-12-12,44
2017-12-13,90
2017-12-14,55
2017-12-15,47
2017-12-16,31
2017-12-17,62
2017-12-18,45
2017-12-19,92
2017-12-20,37
2017-12-21,39
2017-12-22,20
2017-12-23,22
2017-12-24,46
2017-12-25,46
2017-12-26,60
2017-12-27,19
2017-12-28,68
2017-12-29,20
2017-12-30,42
2017-12-31,0
2018-01-01,45
2018-01-02,19
2018-01-03,72
2018-01-04,63
2018-01-05,74
2018-01-06,100
2018-01-07,20
2018-01-08,35
2018-01-09,17
2018-01-10,35
2018-01-11,17
2018-01-12,54
2018-01-13,0
2018-01-14,40
2018-01-15,26
2018-01-16,78
2018-01-17,17
2018-01-18,70
2018-01-19,36
2018-01-20,60
2018-01-21,39
2018-01-22,17
2018-01-23,34
2018-01-24,34
2018-01-25,17
2018-01-26,0
2018-01-27,20
2018-01-28,20
2018-01-29,26
2018-01-30,17
2018-01-31,68
2018-02-01,43
2018-02-02,36
2018-02-03,20
2018-02-04,78
2018-02-05,26
2018-02-06,34
2018-02-07,0
2018-02-08,17
2018-02-09,27
2018-02-10,20
2018-02-11,40
2018-02-12,53
2018-02-13,35
2018-02-14,26
2018-02-15,18
2018-02-16,27
2018-02-17,60
2018-02-18,0
2018-02-19,69
2018-02-20,17
2018-02-21,0
2018-02-22,17
2018-02-23,36
2018-02-24,20
2018-02-25,39
2018-02-26,34
2018-02-27,60
2018-02-28,17
2018-03-01,0
2018-03-02,27
2018-03-03,0
2018-03-04,19
2018-03-05,17
2018-03-06,17
2018-03-07,26
2018-03-08,35
2018-03-09,27
2018-03-10,20
2018-03-11,39
2018-03-12,51
2018-03-13,17
2018-03-14,17
2018-03-15,0
