Category: All categories

Day,bitcoin binance: (Worldwide)
2017-09-15,<1
2017-09-16,0
2017-09-17,0
2017-09-18,0
2017-09-19,0
2017-09-20,<1
2017-09-21,<1
2017-09-22,0
2017-09-23,0
2017-09-24,<1
2017-09-25,0
2017-09-26,<1
2017-09-27,1
2017-09-28,<1
2017-09-29,1
2017-09-30,1
2017-10-01,1
2017-10-02,1
2017-10-03,<1
2017-10-04,1
2017-10-05,0
2017-10-06,0
2017-10-07,0
2017-10-08,<1
2017-10-09,1
2017-10-10,1
2017-10-11,0
2017-10-12,<1
2017-10-13,2
2017-10-14,0
2017-10-15,<1
2017-10-16,<1
2017-10-17,<1
2017-10-18,<1
2017-10-19,1
2017-10-20,<1
2017-10-21,1
2017-10-22,2
2017-10-23,4
2017-10-24,4
2017-10-25,<1
2017-10-26,1
2017-10-27,<1
2017-10-28,<1
2017-10-29,1
2017-10-30,2
2017-10-31,2
2017-11-01,1
2017-11-02,1
2017-11-03,1
2017-11-04,<1
2017-11-05,1
2017-11-06,1
2017-11-07,<1
2017-11-08,2
2017-11-09,2
2017-11-10,2
2017-11-11,4
2017-11-12,4
2017-11-13,1
2017-11-14,1
2017-11-15,1
2017-11-16,1
2017-11-17,1
2017-11-18,2
2017-11-19,2
2017-11-20,2
2017-11-21,2
2017-11-22,2
2017-11-23,3
2017-11-24,6
2017-11-25,5
2017-11-26,7
2017-11-27,5
2017-11-28,6
2017-11-29,4
2017-11-30,5
2017-12-01,2
2017-12-02,9
2017-12-03,7
2017-12-04,9
2017-12-05,17
2017-12-06,31
2017-12-07,29
2017-12-08,14
2017-12-09,23
2017-12-10,12
2017-12-11,21
2017-12-12,24
2017-12-13,23
2017-12-14,38
2017-12-15,32
2017-12-16,38
2017-12-17,38
2017-12-18,43
2017-12-19,61
2017-12-20,92
2017-12-21,69
2017-12-22,63
2017-12-23,56
2017-12-24,32
2017-12-25,27
2017-12-26,32
2017-12-27,42
2017-12-28,42
2017-12-29,50
2017-12-30,68
2017-12-31,40
2018-01-01,32
2018-01-02,49
2018-01-03,65
2018-01-04,100
2018-01-05,84
2018-01-06,55
2018-01-07,52
2018-01-08,52
2018-01-09,48
2018-01-10,41
2018-01-11,50
2018-01-12,47
2018-01-13,40
2018-01-14,36
2018-01-15,30
2018-01-16,42
2018-01-17,49
2018-01-18,41
2018-01-19,23
2018-01-20,21
2018-01-21,19
2018-01-22,20
2018-01-23,16
2018-01-24,17
2018-01-25,16
2018-01-26,15
2018-01-27,16
2018-01-28,16
2018-01-29,12
2018-01-30,12
2018-01-31,12
2018-02-01,13
2018-02-02,17
2018-02-03,13
2018-02-04,7
2018-02-05,18
2018-02-06,17
2018-02-07,14
2018-02-08,23
2018-02-09,33
2018-02-10,18
2018-02-11,14
2018-02-12,9
2018-02-13,5
2018-02-14,12
2018-02-15,9
2018-02-16,10
2018-02-17,10
2018-02-18,11
2018-02-19,10
2018-02-20,13
2018-02-21,10
2018-02-22,11
2018-02-23,10
2018-02-24,10
2018-02-25,4
2018-02-26,9
2018-02-27,10
2018-02-28,8
2018-03-01,10
2018-03-02,7
2018-03-03,3
2018-03-04,7
2018-03-05,9
2018-03-06,7
2018-03-07,16
2018-03-08,14
2018-03-09,13
2018-03-10,7
2018-03-11,6
2018-03-12,3
2018-03-13,7
2018-03-14,9
2018-03-15,7
