Category: All categories

Day,bitcoin boom: (Worldwide)
2017-09-15,12
2017-09-16,0
2017-09-17,0
2017-09-18,23
2017-09-19,0
2017-09-20,0
2017-09-21,12
2017-09-22,0
2017-09-23,13
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,11
2017-09-28,0
2017-09-29,24
2017-09-30,27
2017-10-01,0
2017-10-02,11
2017-10-03,0
2017-10-04,0
2017-10-05,12
2017-10-06,0
2017-10-07,13
2017-10-08,0
2017-10-09,0
2017-10-10,0
2017-10-11,11
2017-10-12,0
2017-10-13,24
2017-10-14,13
2017-10-15,0
2017-10-16,0
2017-10-17,11
2017-10-18,11
2017-10-19,23
2017-10-20,0
2017-10-21,26
2017-10-22,0
2017-10-23,22
2017-10-24,22
2017-10-25,0
2017-10-26,11
2017-10-27,0
2017-10-28,0
2017-10-29,13
2017-10-30,23
2017-10-31,11
2017-11-01,12
2017-11-02,11
2017-11-03,12
2017-11-04,0
2017-11-05,25
2017-11-06,11
2017-11-07,22
2017-11-08,22
2017-11-09,0
2017-11-10,0
2017-11-11,0
2017-11-12,12
2017-11-13,11
2017-11-14,22
2017-11-15,11
2017-11-16,11
2017-11-17,23
2017-11-18,0
2017-11-19,50
2017-11-20,22
2017-11-21,22
2017-11-22,11
2017-11-23,11
2017-11-24,11
2017-11-25,25
2017-11-26,62
2017-11-27,22
2017-11-28,43
2017-11-29,44
2017-11-30,22
2017-12-01,34
2017-12-02,25
2017-12-03,0
2017-12-04,33
2017-12-05,22
2017-12-06,56
2017-12-07,100
2017-12-08,58
2017-12-09,52
2017-12-10,13
2017-12-11,54
2017-12-12,33
2017-12-13,0
2017-12-14,34
2017-12-15,23
2017-12-16,65
2017-12-17,26
2017-12-18,34
2017-12-19,57
2017-12-20,93
2017-12-21,24
2017-12-22,62
2017-12-23,41
2017-12-24,29
2017-12-25,29
2017-12-26,12
2017-12-27,24
2017-12-28,48
2017-12-29,24
2017-12-30,39
2017-12-31,28
2018-01-01,14
2018-01-02,11
2018-01-03,33
2018-01-04,33
2018-01-05,11
2018-01-06,25
2018-01-07,12
2018-01-08,22
2018-01-09,43
2018-01-10,11
2018-01-11,22
2018-01-12,11
2018-01-13,12
2018-01-14,0
2018-01-15,22
2018-01-16,11
2018-01-17,11
2018-01-18,22
2018-01-19,44
2018-01-20,0
2018-01-21,24
2018-01-22,0
2018-01-23,11
2018-01-24,11
2018-01-25,11
2018-01-26,22
2018-01-27,0
2018-01-28,0
2018-01-29,54
2018-01-30,0
2018-01-31,21
2018-02-01,22
2018-02-02,22
2018-02-03,12
2018-02-04,12
2018-02-05,11
2018-02-06,32
2018-02-07,11
2018-02-08,21
2018-02-09,11
2018-02-10,0
2018-02-11,0
2018-02-12,33
2018-02-13,22
2018-02-14,0
2018-02-15,0
2018-02-16,0
2018-02-17,0
2018-02-18,0
2018-02-19,0
2018-02-20,0
2018-02-21,0
2018-02-22,32
2018-02-23,0
2018-02-24,37
2018-02-25,0
2018-02-26,0
2018-02-27,11
2018-02-28,10
2018-03-01,0
2018-03-02,22
2018-03-03,24
2018-03-04,12
2018-03-05,10
2018-03-06,10
2018-03-07,0
2018-03-08,0
2018-03-09,0
2018-03-10,12
2018-03-11,12
2018-03-12,0
2018-03-13,32
2018-03-14,10
2018-03-15,0
