Category: All categories

Day,bitcoin bubble: (Worldwide)
2017-09-15,8
2017-09-16,2
2017-09-17,4
2017-09-18,6
2017-09-19,2
2017-09-20,2
2017-09-21,3
2017-09-22,1
2017-09-23,0
2017-09-24,2
2017-09-25,1
2017-09-26,1
2017-09-27,3
2017-09-28,2
2017-09-29,1
2017-09-30,1
2017-10-01,2
2017-10-02,2
2017-10-03,2
2017-10-04,1
2017-10-05,4
2017-10-06,1
2017-10-07,1
2017-10-08,3
2017-10-09,1
2017-10-10,1
2017-10-11,1
2017-10-12,6
2017-10-13,6
2017-10-14,2
2017-10-15,4
2017-10-16,3
2017-10-17,3
2017-10-18,3
2017-10-19,3
2017-10-20,4
2017-10-21,5
2017-10-22,5
2017-10-23,4
2017-10-24,3
2017-10-25,2
2017-10-26,5
2017-10-27,4
2017-10-28,5
2017-10-29,3
2017-10-30,4
2017-10-31,5
2017-11-01,9
2017-11-02,12
2017-11-03,13
2017-11-04,7
2017-11-05,10
2017-11-06,6
2017-11-07,9
2017-11-08,9
2017-11-09,10
2017-11-10,11
2017-11-11,6
2017-11-12,2
2017-11-13,6
2017-11-14,6
2017-11-15,3
2017-11-16,5
2017-11-17,7
2017-11-18,5
2017-11-19,7
2017-11-20,10
2017-11-21,10
2017-11-22,9
2017-11-23,5
2017-11-24,7
2017-11-25,9
2017-11-26,23
2017-11-27,34
2017-11-28,41
2017-11-29,57
2017-11-30,43
2017-12-01,24
2017-12-02,18
2017-12-03,38
2017-12-04,38
2017-12-05,32
2017-12-06,50
2017-12-07,100
2017-12-08,70
2017-12-09,32
2017-12-10,35
2017-12-11,37
2017-12-12,51
2017-12-13,45
2017-12-14,38
2017-12-15,24
2017-12-16,48
2017-12-17,43
2017-12-18,32
2017-12-19,35
2017-12-20,28
2017-12-21,32
2017-12-22,51
2017-12-23,30
2017-12-24,22
2017-12-25,14
2017-12-26,14
2017-12-27,13
2017-12-28,16
2017-12-29,9
2017-12-30,12
2017-12-31,11
2018-01-01,9
2018-01-02,8
2018-01-03,8
2018-01-04,11
2018-01-05,9
2018-01-06,7
2018-01-07,10
2018-01-08,11
2018-01-09,12
2018-01-10,10
2018-01-11,19
2018-01-12,16
2018-01-13,7
2018-01-14,8
2018-01-15,9
2018-01-16,24
2018-01-17,31
2018-01-18,16
2018-01-19,15
2018-01-20,8
2018-01-21,8
2018-01-22,11
2018-01-23,17
2018-01-24,7
2018-01-25,5
2018-01-26,5
2018-01-27,5
2018-01-28,5
2018-01-29,6
2018-01-30,9
2018-01-31,4
2018-02-01,6
2018-02-02,16
2018-02-03,8
2018-02-04,11
2018-02-05,17
2018-02-06,19
2018-02-07,9
2018-02-08,7
2018-02-09,6
2018-02-10,6
2018-02-11,4
2018-02-12,5
2018-02-13,5
2018-02-14,3
2018-02-15,5
2018-02-16,4
2018-02-17,3
2018-02-18,1
2018-02-19,3
2018-02-20,3
2018-02-21,2
2018-02-22,1
2018-02-23,5
2018-02-24,1
2018-02-25,2
2018-02-26,5
2018-02-27,<1
2018-02-28,4
2018-03-01,2
2018-03-02,1
2018-03-03,3
2018-03-04,2
2018-03-05,4
2018-03-06,1
2018-03-07,3
2018-03-08,5
2018-03-09,4
2018-03-10,3
2018-03-11,2
2018-03-12,1
2018-03-13,2
2018-03-14,5
2018-03-15,5
