Category: All categories

Day,bitcoin buy: (Worldwide)
2017-09-15,10
2017-09-16,7
2017-09-17,6
2017-09-18,8
2017-09-19,7
2017-09-20,6
2017-09-21,6
2017-09-22,5
2017-09-23,5
2017-09-24,6
2017-09-25,4
2017-09-26,5
2017-09-27,5
2017-09-28,5
2017-09-29,5
2017-09-30,5
2017-10-01,7
2017-10-02,6
2017-10-03,6
2017-10-04,5
2017-10-05,6
2017-10-06,5
2017-10-07,4
2017-10-08,7
2017-10-09,6
2017-10-10,7
2017-10-11,6
2017-10-12,11
2017-10-13,15
2017-10-14,11
2017-10-15,10
2017-10-16,9
2017-10-17,8
2017-10-18,8
2017-10-19,8
2017-10-20,11
2017-10-21,13
2017-10-22,10
2017-10-23,10
2017-10-24,10
2017-10-25,9
2017-10-26,9
2017-10-27,8
2017-10-28,8
2017-10-29,8
2017-10-30,10
2017-10-31,11
2017-11-01,17
2017-11-02,20
2017-11-03,18
2017-11-04,15
2017-11-05,14
2017-11-06,13
2017-11-07,12
2017-11-08,14
2017-11-09,14
2017-11-10,16
2017-11-11,16
2017-11-12,21
2017-11-13,16
2017-11-14,13
2017-11-15,12
2017-11-16,13
2017-11-17,15
2017-11-18,14
2017-11-19,12
2017-11-20,16
2017-11-21,15
2017-11-22,14
2017-11-23,13
2017-11-24,13
2017-11-25,14
2017-11-26,21
2017-11-27,33
2017-11-28,38
2017-11-29,67
2017-11-30,47
2017-12-01,30
2017-12-02,28
2017-12-03,28
2017-12-04,33
2017-12-05,36
2017-12-06,48
2017-12-07,100
2017-12-08,84
2017-12-09,56
2017-12-10,45
2017-12-11,52
2017-12-12,66
2017-12-13,56
2017-12-14,49
2017-12-15,40
2017-12-16,42
2017-12-17,45
2017-12-18,41
2017-12-19,45
2017-12-20,58
2017-12-21,41
2017-12-22,50
2017-12-23,37
2017-12-24,28
2017-12-25,23
2017-12-26,24
2017-12-27,24
2017-12-28,25
2017-12-29,25
2017-12-30,28
2017-12-31,21
2018-01-01,17
2018-01-02,22
2018-01-03,27
2018-01-04,30
2018-01-05,28
2018-01-06,26
2018-01-07,26
2018-01-08,21
2018-01-09,20
2018-01-10,22
2018-01-11,20
2018-01-12,18
2018-01-13,19
2018-01-14,16
2018-01-15,14
2018-01-16,19
2018-01-17,23
2018-01-18,19
2018-01-19,15
2018-01-20,13
2018-01-21,13
2018-01-22,11
2018-01-23,12
2018-01-24,11
2018-01-25,11
2018-01-26,10
2018-01-27,11
2018-01-28,11
2018-01-29,9
2018-01-30,9
2018-01-31,9
2018-02-01,11
2018-02-02,13
2018-02-03,10
2018-02-04,10
2018-02-05,12
2018-02-06,15
2018-02-07,11
2018-02-08,9
2018-02-09,9
2018-02-10,7
2018-02-11,7
2018-02-12,8
2018-02-13,7
2018-02-14,7
2018-02-15,7
2018-02-16,7
2018-02-17,7
2018-02-18,7
2018-02-19,6
2018-02-20,7
2018-02-21,6
2018-02-22,6
2018-02-23,5
2018-02-24,5
2018-02-25,5
2018-02-26,5
2018-02-27,6
2018-02-28,5
2018-03-01,4
2018-03-02,5
2018-03-03,5
2018-03-04,5
2018-03-05,5
2018-03-06,4
2018-03-07,5
2018-03-08,5
2018-03-09,5
2018-03-10,5
2018-03-11,5
2018-03-12,5
2018-03-13,5
2018-03-14,5
2018-03-15,5
