Category: All categories

Day,bitcoin coinbase: (Worldwide)
2017-09-15,5
2017-09-16,4
2017-09-17,2
2017-09-18,3
2017-09-19,3
2017-09-20,2
2017-09-21,3
2017-09-22,2
2017-09-23,2
2017-09-24,2
2017-09-25,2
2017-09-26,3
2017-09-27,3
2017-09-28,3
2017-09-29,2
2017-09-30,2
2017-10-01,3
2017-10-02,2
2017-10-03,3
2017-10-04,2
2017-10-05,3
2017-10-06,2
2017-10-07,2
2017-10-08,2
2017-10-09,3
2017-10-10,4
2017-10-11,4
2017-10-12,5
2017-10-13,8
2017-10-14,5
2017-10-15,4
2017-10-16,4
2017-10-17,4
2017-10-18,3
2017-10-19,5
2017-10-20,5
2017-10-21,7
2017-10-22,5
2017-10-23,7
2017-10-24,6
2017-10-25,5
2017-10-26,4
2017-10-27,3
2017-10-28,5
2017-10-29,4
2017-10-30,5
2017-10-31,5
2017-11-01,7
2017-11-02,12
2017-11-03,10
2017-11-04,8
2017-11-05,8
2017-11-06,7
2017-11-07,6
2017-11-08,8
2017-11-09,8
2017-11-10,10
2017-11-11,8
2017-11-12,10
2017-11-13,8
2017-11-14,6
2017-11-15,8
2017-11-16,6
2017-11-17,10
2017-11-18,6
2017-11-19,7
2017-11-20,7
2017-11-21,10
2017-11-22,6
2017-11-23,7
2017-11-24,6
2017-11-25,8
2017-11-26,12
2017-11-27,18
2017-11-28,20
2017-11-29,42
2017-11-30,29
2017-12-01,18
2017-12-02,13
2017-12-03,15
2017-12-04,14
2017-12-05,17
2017-12-06,28
2017-12-07,76
2017-12-08,52
2017-12-09,33
2017-12-10,27
2017-12-11,34
2017-12-12,44
2017-12-13,41
2017-12-14,30
2017-12-15,25
2017-12-16,26
2017-12-17,27
2017-12-18,25
2017-12-19,32
2017-12-20,100
2017-12-21,41
2017-12-22,52
2017-12-23,30
2017-12-24,18
2017-12-25,14
2017-12-26,18
2017-12-27,18
2017-12-28,19
2017-12-29,16
2017-12-30,19
2017-12-31,13
2018-01-01,9
2018-01-02,17
2018-01-03,20
2018-01-04,20
2018-01-05,19
2018-01-06,15
2018-01-07,15
2018-01-08,14
2018-01-09,13
2018-01-10,14
2018-01-11,13
2018-01-12,11
2018-01-13,11
2018-01-14,10
2018-01-15,9
2018-01-16,15
2018-01-17,17
2018-01-18,12
2018-01-19,9
2018-01-20,7
2018-01-21,8
2018-01-22,7
2018-01-23,5
2018-01-24,6
2018-01-25,6
2018-01-26,6
2018-01-27,5
2018-01-28,5
2018-01-29,5
2018-01-30,5
2018-01-31,5
2018-02-01,6
2018-02-02,8
2018-02-03,5
2018-02-04,5
2018-02-05,7
2018-02-06,7
2018-02-07,6
2018-02-08,4
2018-02-09,4
2018-02-10,4
2018-02-11,3
2018-02-12,3
2018-02-13,3
2018-02-14,4
2018-02-15,6
2018-02-16,5
2018-02-17,5
2018-02-18,4
2018-02-19,5
2018-02-20,5
2018-02-21,4
2018-02-22,3
2018-02-23,3
2018-02-24,3
2018-02-25,3
2018-02-26,3
2018-02-27,3
2018-02-28,3
2018-03-01,3
2018-03-02,2
2018-03-03,3
2018-03-04,3
2018-03-05,3
2018-03-06,3
2018-03-07,3
2018-03-08,3
2018-03-09,3
2018-03-10,2
2018-03-11,2
2018-03-12,2
2018-03-13,2
2018-03-14,2
2018-03-15,3
