Category: All categories

Day,bitcoin coinmarket: (Worldwide)
2017-09-15,19
2017-09-16,0
2017-09-17,0
2017-09-18,6
2017-09-19,18
2017-09-20,12
2017-09-21,0
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,0
2017-09-26,0
2017-09-27,0
2017-09-28,24
2017-09-29,0
2017-09-30,14
2017-10-01,0
2017-10-02,6
2017-10-03,0
2017-10-04,12
2017-10-05,6
2017-10-06,6
2017-10-07,0
2017-10-08,0
2017-10-09,6
2017-10-10,6
2017-10-11,6
2017-10-12,49
2017-10-13,6
2017-10-14,7
2017-10-15,0
2017-10-16,6
2017-10-17,18
2017-10-18,6
2017-10-19,6
2017-10-20,13
2017-10-21,7
2017-10-22,0
2017-10-23,6
2017-10-24,23
2017-10-25,0
2017-10-26,0
2017-10-27,13
2017-10-28,0
2017-10-29,27
2017-10-30,0
2017-10-31,43
2017-11-01,25
2017-11-02,18
2017-11-03,12
2017-11-04,7
2017-11-05,13
2017-11-06,12
2017-11-07,6
2017-11-08,23
2017-11-09,6
2017-11-10,18
2017-11-11,20
2017-11-12,33
2017-11-13,6
2017-11-14,12
2017-11-15,23
2017-11-16,18
2017-11-17,12
2017-11-18,7
2017-11-19,7
2017-11-20,17
2017-11-21,12
2017-11-22,12
2017-11-23,6
2017-11-24,24
2017-11-25,40
2017-11-26,40
2017-11-27,28
2017-11-28,17
2017-11-29,41
2017-11-30,53
2017-12-01,12
2017-12-02,27
2017-12-03,33
2017-12-04,29
2017-12-05,23
2017-12-06,41
2017-12-07,48
2017-12-08,43
2017-12-09,21
2017-12-10,66
2017-12-11,17
2017-12-12,12
2017-12-13,35
2017-12-14,42
2017-12-15,43
2017-12-16,14
2017-12-17,54
2017-12-18,30
2017-12-19,67
2017-12-20,62
2017-12-21,44
2017-12-22,100
2017-12-23,14
2017-12-24,30
2017-12-25,23
2017-12-26,40
2017-12-27,44
2017-12-28,57
2017-12-29,32
2017-12-30,7
2017-12-31,29
2018-01-01,37
2018-01-02,42
2018-01-03,35
2018-01-04,35
2018-01-05,24
2018-01-06,33
2018-01-07,33
2018-01-08,29
2018-01-09,28
2018-01-10,41
2018-01-11,41
2018-01-12,24
2018-01-13,20
2018-01-14,26
2018-01-15,40
2018-01-16,97
2018-01-17,68
2018-01-18,29
2018-01-19,24
2018-01-20,39
2018-01-21,26
2018-01-22,17
2018-01-23,11
2018-01-24,22
2018-01-25,11
2018-01-26,24
2018-01-27,13
2018-01-28,13
2018-01-29,34
2018-01-30,34
2018-01-31,40
2018-02-01,23
2018-02-02,53
2018-02-03,39
2018-02-04,13
2018-02-05,34
2018-02-06,34
2018-02-07,28
2018-02-08,23
2018-02-09,0
2018-02-10,7
2018-02-11,32
2018-02-12,0
2018-02-13,6
2018-02-14,17
2018-02-15,6
2018-02-16,6
2018-02-17,7
2018-02-18,19
2018-02-19,17
2018-02-20,23
2018-02-21,6
2018-02-22,17
2018-02-23,24
2018-02-24,19
2018-02-25,13
2018-02-26,0
2018-02-27,17
2018-02-28,22
2018-03-01,5
2018-03-02,6
2018-03-03,6
2018-03-04,19
2018-03-05,22
2018-03-06,6
2018-03-07,11
2018-03-08,6
2018-03-09,6
2018-03-10,6
2018-03-11,13
2018-03-12,6
2018-03-13,22
2018-03-14,22
2018-03-15,17
