Category: All categories

Day,bitcoin gdax: (Worldwide)
2017-09-15,4
2017-09-16,5
2017-09-17,4
2017-09-18,2
2017-09-19,5
2017-09-20,1
2017-09-21,2
2017-09-22,3
2017-09-23,3
2017-09-24,2
2017-09-25,2
2017-09-26,1
2017-09-27,2
2017-09-28,1
2017-09-29,2
2017-09-30,1
2017-10-01,3
2017-10-02,2
2017-10-03,2
2017-10-04,2
2017-10-05,1
2017-10-06,1
2017-10-07,1
2017-10-08,2
2017-10-09,1
2017-10-10,5
2017-10-11,3
2017-10-12,5
2017-10-13,5
2017-10-14,1
2017-10-15,3
2017-10-16,3
2017-10-17,3
2017-10-18,3
2017-10-19,2
2017-10-20,7
2017-10-21,5
2017-10-22,3
2017-10-23,5
2017-10-24,5
2017-10-25,3
2017-10-26,4
2017-10-27,4
2017-10-28,2
2017-10-29,3
2017-10-30,3
2017-10-31,5
2017-11-01,4
2017-11-02,9
2017-11-03,8
2017-11-04,7
2017-11-05,6
2017-11-06,5
2017-11-07,6
2017-11-08,8
2017-11-09,7
2017-11-10,13
2017-11-11,7
2017-11-12,14
2017-11-13,8
2017-11-14,4
2017-11-15,6
2017-11-16,8
2017-11-17,8
2017-11-18,6
2017-11-19,7
2017-11-20,7
2017-11-21,7
2017-11-22,4
2017-11-23,5
2017-11-24,5
2017-11-25,9
2017-11-26,11
2017-11-27,18
2017-11-28,16
2017-11-29,44
2017-11-30,30
2017-12-01,19
2017-12-02,12
2017-12-03,17
2017-12-04,13
2017-12-05,14
2017-12-06,17
2017-12-07,77
2017-12-08,51
2017-12-09,37
2017-12-10,32
2017-12-11,27
2017-12-12,38
2017-12-13,38
2017-12-14,27
2017-12-15,25
2017-12-16,25
2017-12-17,26
2017-12-18,26
2017-12-19,28
2017-12-20,100
2017-12-21,43
2017-12-22,47
2017-12-23,27
2017-12-24,22
2017-12-25,18
2017-12-26,18
2017-12-27,19
2017-12-28,18
2017-12-29,21
2017-12-30,26
2017-12-31,15
2018-01-01,11
2018-01-02,18
2018-01-03,18
2018-01-04,25
2018-01-05,22
2018-01-06,17
2018-01-07,14
2018-01-08,16
2018-01-09,14
2018-01-10,19
2018-01-11,15
2018-01-12,10
2018-01-13,11
2018-01-14,7
2018-01-15,8
2018-01-16,17
2018-01-17,25
2018-01-18,14
2018-01-19,11
2018-01-20,8
2018-01-21,6
2018-01-22,10
2018-01-23,8
2018-01-24,7
2018-01-25,6
2018-01-26,8
2018-01-27,5
2018-01-28,5
2018-01-29,4
2018-01-30,7
2018-01-31,4
2018-02-01,13
2018-02-02,12
2018-02-03,2
2018-02-04,4
2018-02-05,11
2018-02-06,13
2018-02-07,7
2018-02-08,7
2018-02-09,4
2018-02-10,4
2018-02-11,6
2018-02-12,4
2018-02-13,4
2018-02-14,3
2018-02-15,6
2018-02-16,6
2018-02-17,5
2018-02-18,6
2018-02-19,4
2018-02-20,4
2018-02-21,3
2018-02-22,6
2018-02-23,6
2018-02-24,5
2018-02-25,2
2018-02-26,4
2018-02-27,3
2018-02-28,3
2018-03-01,2
2018-03-02,3
2018-03-03,3
2018-03-04,3
2018-03-05,3
2018-03-06,1
2018-03-07,2
2018-03-08,2
2018-03-09,3
2018-03-10,3
2018-03-11,3
2018-03-12,3
2018-03-13,3
2018-03-14,4
2018-03-15,4
