Category: All categories

Day,bitcoin price: (Worldwide)
2017-09-15,16
2017-09-16,10
2017-09-17,7
2017-09-18,9
2017-09-19,8
2017-09-20,7
2017-09-21,7
2017-09-22,7
2017-09-23,5
2017-09-24,4
2017-09-25,6
2017-09-26,5
2017-09-27,6
2017-09-28,6
2017-09-29,5
2017-09-30,5
2017-10-01,5
2017-10-02,6
2017-10-03,5
2017-10-04,5
2017-10-05,5
2017-10-06,4
2017-10-07,4
2017-10-08,5
2017-10-09,6
2017-10-10,7
2017-10-11,6
2017-10-12,10
2017-10-13,14
2017-10-14,9
2017-10-15,8
2017-10-16,9
2017-10-17,8
2017-10-18,8
2017-10-19,8
2017-10-20,9
2017-10-21,10
2017-10-22,8
2017-10-23,10
2017-10-24,10
2017-10-25,10
2017-10-26,9
2017-10-27,8
2017-10-28,6
2017-10-29,7
2017-10-30,10
2017-10-31,11
2017-11-01,14
2017-11-02,19
2017-11-03,17
2017-11-04,12
2017-11-05,12
2017-11-06,14
2017-11-07,12
2017-11-08,14
2017-11-09,13
2017-11-10,15
2017-11-11,15
2017-11-12,19
2017-11-13,19
2017-11-14,14
2017-11-15,13
2017-11-16,14
2017-11-17,17
2017-11-18,12
2017-11-19,11
2017-11-20,16
2017-11-21,16
2017-11-22,13
2017-11-23,11
2017-11-24,11
2017-11-25,12
2017-11-26,19
2017-11-27,28
2017-11-28,31
2017-11-29,53
2017-11-30,48
2017-12-01,35
2017-12-02,26
2017-12-03,24
2017-12-04,30
2017-12-05,29
2017-12-06,40
2017-12-07,90
2017-12-08,85
2017-12-09,54
2017-12-10,49
2017-12-11,60
2017-12-12,53
2017-12-13,47
2017-12-14,41
2017-12-15,35
2017-12-16,34
2017-12-17,37
2017-12-18,41
2017-12-19,41
2017-12-20,57
2017-12-21,45
2017-12-22,100
2017-12-23,65
2017-12-24,47
2017-12-25,42
2017-12-26,41
2017-12-27,37
2017-12-28,37
2017-12-29,34
2017-12-30,31
2017-12-31,28
2018-01-01,26
2018-01-02,31
2018-01-03,29
2018-01-04,26
2018-01-05,25
2018-01-06,22
2018-01-07,21
2018-01-08,25
2018-01-09,25
2018-01-10,23
2018-01-11,29
2018-01-12,23
2018-01-13,17
2018-01-14,16
2018-01-15,17
2018-01-16,40
2018-01-17,63
2018-01-18,44
2018-01-19,31
2018-01-20,23
2018-01-21,20
2018-01-22,26
2018-01-23,26
2018-01-24,23
2018-01-25,21
2018-01-26,21
2018-01-27,17
2018-01-28,16
2018-01-29,18
2018-01-30,20
2018-01-31,22
2018-02-01,27
2018-02-02,42
2018-02-03,28
2018-02-04,22
2018-02-05,43
2018-02-06,58
2018-02-07,36
2018-02-08,29
2018-02-09,26
2018-02-10,18
2018-02-11,17
2018-02-12,20
2018-02-13,17
2018-02-14,17
2018-02-15,18
2018-02-16,16
2018-02-17,14
2018-02-18,15
2018-02-19,14
2018-02-20,16
2018-02-21,16
2018-02-22,15
2018-02-23,13
2018-02-24,11
2018-02-25,10
2018-02-26,12
2018-02-27,12
2018-02-28,11
2018-03-01,11
2018-03-02,10
2018-03-03,10
2018-03-04,9
2018-03-05,10
2018-03-06,10
2018-03-07,12
2018-03-08,12
2018-03-09,14
2018-03-10,10
2018-03-11,10
2018-03-12,11
2018-03-13,11
2018-03-14,12
2018-03-15,15
