Category: All categories

Day,bitcoin race: (Worldwide)
2017-09-15,3
2017-09-16,0
2017-09-17,3
2017-09-18,0
2017-09-19,0
2017-09-20,6
2017-09-21,0
2017-09-22,0
2017-09-23,0
2017-09-24,0
2017-09-25,3
2017-09-26,0
2017-09-27,0
2017-09-28,3
2017-09-29,3
2017-09-30,0
2017-10-01,0
2017-10-02,6
2017-10-03,0
2017-10-04,0
2017-10-05,0
2017-10-06,0
2017-10-07,0
2017-10-08,3
2017-10-09,0
2017-10-10,3
2017-10-11,3
2017-10-12,0
2017-10-13,0
2017-10-14,0
2017-10-15,0
2017-10-16,6
2017-10-17,0
2017-10-18,0
2017-10-19,3
2017-10-20,6
2017-10-21,0
2017-10-22,0
2017-10-23,9
2017-10-24,6
2017-10-25,9
2017-10-26,3
2017-10-27,0
2017-10-28,0
2017-10-29,0
2017-10-30,0
2017-10-31,6
2017-11-01,3
2017-11-02,9
2017-11-03,0
2017-11-04,3
2017-11-05,10
2017-11-06,8
2017-11-07,8
2017-11-08,11
2017-11-09,3
2017-11-10,9
2017-11-11,10
2017-11-12,13
2017-11-13,3
2017-11-14,0
2017-11-15,0
2017-11-16,3
2017-11-17,6
2017-11-18,6
2017-11-19,3
2017-11-20,6
2017-11-21,0
2017-11-22,11
2017-11-23,0
2017-11-24,0
2017-11-25,3
2017-11-26,10
2017-11-27,8
2017-11-28,11
2017-11-29,6
2017-11-30,14
2017-12-01,12
2017-12-02,3
2017-12-03,3
2017-12-04,14
2017-12-05,8
2017-12-06,14
2017-12-07,20
2017-12-08,36
2017-12-09,13
2017-12-10,23
2017-12-11,14
2017-12-12,64
2017-12-13,100
2017-12-14,23
2017-12-15,12
2017-12-16,10
2017-12-17,7
2017-12-18,6
2017-12-19,6
2017-12-20,15
2017-12-21,3
2017-12-22,16
2017-12-23,14
2017-12-24,0
2017-12-25,11
2017-12-26,6
2017-12-27,9
2017-12-28,12
2017-12-29,3
2017-12-30,7
2017-12-31,14
2018-01-01,14
2018-01-02,0
2018-01-03,9
2018-01-04,3
2018-01-05,6
2018-01-06,6
2018-01-07,10
2018-01-08,8
2018-01-09,3
2018-01-10,6
2018-01-11,8
2018-01-12,17
2018-01-13,3
2018-01-14,0
2018-01-15,3
2018-01-16,14
2018-01-17,5
2018-01-18,6
2018-01-19,9
2018-01-20,9
2018-01-21,12
2018-01-22,13
2018-01-23,0
2018-01-24,14
2018-01-25,6
2018-01-26,9
2018-01-27,22
2018-01-28,9
2018-01-29,5
2018-01-30,3
2018-01-31,5
2018-02-01,3
2018-02-02,17
2018-02-03,10
2018-02-04,3
2018-02-05,8
2018-02-06,6
2018-02-07,8
2018-02-08,5
2018-02-09,0
2018-02-10,6
2018-02-11,0
2018-02-12,11
2018-02-13,3
2018-02-14,6
2018-02-15,3
2018-02-16,6
2018-02-17,3
2018-02-18,3
2018-02-19,3
2018-02-20,0
2018-02-21,3
2018-02-22,8
2018-02-23,3
2018-02-24,3
2018-02-25,6
2018-02-26,0
2018-02-27,3
2018-02-28,0
2018-03-01,3
2018-03-02,0
2018-03-03,3
2018-03-04,0
2018-03-05,3
2018-03-06,3
2018-03-07,5
2018-03-08,0
2018-03-09,3
2018-03-10,6
2018-03-11,6
2018-03-12,5
2018-03-13,3
2018-03-14,5
2018-03-15,5
