Category: All categories

Day,bitcoin stock: (Worldwide)
2017-09-15,15
2017-09-16,7
2017-09-17,6
2017-09-18,9
2017-09-19,10
2017-09-20,9
2017-09-21,8
2017-09-22,8
2017-09-23,5
2017-09-24,4
2017-09-25,7
2017-09-26,6
2017-09-27,8
2017-09-28,6
2017-09-29,5
2017-09-30,5
2017-10-01,4
2017-10-02,8
2017-10-03,7
2017-10-04,6
2017-10-05,7
2017-10-06,6
2017-10-07,4
2017-10-08,5
2017-10-09,5
2017-10-10,8
2017-10-11,6
2017-10-12,14
2017-10-13,17
2017-10-14,7
2017-10-15,7
2017-10-16,11
2017-10-17,10
2017-10-18,11
2017-10-19,11
2017-10-20,11
2017-10-21,8
2017-10-22,7
2017-10-23,12
2017-10-24,11
2017-10-25,10
2017-10-26,13
2017-10-27,12
2017-10-28,7
2017-10-29,7
2017-10-30,13
2017-10-31,13
2017-11-01,16
2017-11-02,27
2017-11-03,22
2017-11-04,9
2017-11-05,10
2017-11-06,17
2017-11-07,17
2017-11-08,20
2017-11-09,16
2017-11-10,17
2017-11-11,12
2017-11-12,13
2017-11-13,21
2017-11-14,16
2017-11-15,17
2017-11-16,19
2017-11-17,23
2017-11-18,14
2017-11-19,8
2017-11-20,19
2017-11-21,20
2017-11-22,16
2017-11-23,12
2017-11-24,12
2017-11-25,11
2017-11-26,15
2017-11-27,41
2017-11-28,43
2017-11-29,77
2017-11-30,64
2017-12-01,44
2017-12-02,26
2017-12-03,23
2017-12-04,37
2017-12-05,39
2017-12-06,47
2017-12-07,100
2017-12-08,91
2017-12-09,49
2017-12-10,37
2017-12-11,72
2017-12-12,75
2017-12-13,53
2017-12-14,49
2017-12-15,41
2017-12-16,32
2017-12-17,31
2017-12-18,54
2017-12-19,58
2017-12-20,60
2017-12-21,49
2017-12-22,86
2017-12-23,41
2017-12-24,28
2017-12-25,26
2017-12-26,41
2017-12-27,39
2017-12-28,41
2017-12-29,36
2017-12-30,23
2017-12-31,17
2018-01-01,16
2018-01-02,34
2018-01-03,37
2018-01-04,33
2018-01-05,30
2018-01-06,19
2018-01-07,16
2018-01-08,30
2018-01-09,32
2018-01-10,31
2018-01-11,37
2018-01-12,33
2018-01-13,19
2018-01-14,17
2018-01-15,17
2018-01-16,41
2018-01-17,53
2018-01-18,42
2018-01-19,30
2018-01-20,20
2018-01-21,16
2018-01-22,24
2018-01-23,26
2018-01-24,24
2018-01-25,24
2018-01-26,22
2018-01-27,17
2018-01-28,14
2018-01-29,21
2018-01-30,27
2018-01-31,27
2018-02-01,27
2018-02-02,45
2018-02-03,22
2018-02-04,15
2018-02-05,54
2018-02-06,79
2018-02-07,40
2018-02-08,37
2018-02-09,34
2018-02-10,13
2018-02-11,11
2018-02-12,22
2018-02-13,20
2018-02-14,20
2018-02-15,22
2018-02-16,17
2018-02-17,9
2018-02-18,7
2018-02-19,12
2018-02-20,17
2018-02-21,16
2018-02-22,17
2018-02-23,13
2018-02-24,7
2018-02-25,6
2018-02-26,13
2018-02-27,14
2018-02-28,13
2018-03-01,11
2018-03-02,12
2018-03-03,5
2018-03-04,5
2018-03-05,11
2018-03-06,11
2018-03-07,13
2018-03-08,14
2018-03-09,15
2018-03-10,7
2018-03-11,7
2018-03-12,12
2018-03-13,12
2018-03-14,13
2018-03-15,13
