Category: All categories

Day,bitcoin value: (Worldwide)
2017-09-15,16
2017-09-16,9
2017-09-17,9
2017-09-18,10
2017-09-19,9
2017-09-20,9
2017-09-21,9
2017-09-22,7
2017-09-23,7
2017-09-24,5
2017-09-25,6
2017-09-26,6
2017-09-27,8
2017-09-28,7
2017-09-29,7
2017-09-30,6
2017-10-01,5
2017-10-02,7
2017-10-03,6
2017-10-04,5
2017-10-05,5
2017-10-06,6
2017-10-07,6
2017-10-08,6
2017-10-09,7
2017-10-10,8
2017-10-11,8
2017-10-12,13
2017-10-13,18
2017-10-14,11
2017-10-15,10
2017-10-16,12
2017-10-17,10
2017-10-18,9
2017-10-19,10
2017-10-20,12
2017-10-21,11
2017-10-22,10
2017-10-23,10
2017-10-24,11
2017-10-25,8
2017-10-26,10
2017-10-27,11
2017-10-28,7
2017-10-29,7
2017-10-30,11
2017-10-31,11
2017-11-01,17
2017-11-02,21
2017-11-03,21
2017-11-04,17
2017-11-05,14
2017-11-06,15
2017-11-07,15
2017-11-08,15
2017-11-09,16
2017-11-10,15
2017-11-11,16
2017-11-12,19
2017-11-13,18
2017-11-14,14
2017-11-15,15
2017-11-16,12
2017-11-17,17
2017-11-18,13
2017-11-19,11
2017-11-20,17
2017-11-21,16
2017-11-22,14
2017-11-23,12
2017-11-24,11
2017-11-25,12
2017-11-26,21
2017-11-27,31
2017-11-28,34
2017-11-29,65
2017-11-30,54
2017-12-01,40
2017-12-02,27
2017-12-03,27
2017-12-04,32
2017-12-05,35
2017-12-06,42
2017-12-07,100
2017-12-08,98
2017-12-09,63
2017-12-10,50
2017-12-11,59
2017-12-12,57
2017-12-13,55
2017-12-14,45
2017-12-15,39
2017-12-16,36
2017-12-17,37
2017-12-18,39
2017-12-19,43
2017-12-20,52
2017-12-21,43
2017-12-22,94
2017-12-23,77
2017-12-24,54
2017-12-25,45
2017-12-26,40
2017-12-27,37
2017-12-28,36
2017-12-29,30
2017-12-30,30
2017-12-31,23
2018-01-01,23
2018-01-02,31
2018-01-03,28
2018-01-04,26
2018-01-05,27
2018-01-06,23
2018-01-07,24
2018-01-08,27
2018-01-09,28
2018-01-10,25
2018-01-11,26
2018-01-12,22
2018-01-13,19
2018-01-14,17
2018-01-15,18
2018-01-16,34
2018-01-17,57
2018-01-18,43
2018-01-19,27
2018-01-20,23
2018-01-21,17
2018-01-22,22
2018-01-23,21
2018-01-24,20
2018-01-25,24
2018-01-26,20
2018-01-27,15
2018-01-28,16
2018-01-29,17
2018-01-30,18
2018-01-31,18
2018-02-01,20
2018-02-02,33
2018-02-03,24
2018-02-04,20
2018-02-05,33
2018-02-06,40
2018-02-07,27
2018-02-08,22
2018-02-09,22
2018-02-10,14
2018-02-11,14
2018-02-12,17
2018-02-13,16
2018-02-14,14
2018-02-15,15
2018-02-16,14
2018-02-17,12
2018-02-18,16
2018-02-19,13
2018-02-20,12
2018-02-21,12
2018-02-22,10
2018-02-23,9
2018-02-24,8
2018-02-25,9
2018-02-26,9
2018-02-27,9
2018-02-28,10
2018-03-01,9
2018-03-02,9
2018-03-03,8
2018-03-04,6
2018-03-05,8
2018-03-06,9
2018-03-07,11
2018-03-08,11
2018-03-09,11
2018-03-10,8
2018-03-11,8
2018-03-12,9
2018-03-13,8
2018-03-14,11
2018-03-15,13
