Day,GDAX
9/15/17,8
9/16/17,5
9/17/17,5
9/18/17,5
9/19/17,5
9/20/17,4
9/21/17,3
9/22/17,4
9/23/17,3
9/24/17,2
9/25/17,3
9/26/17,3
9/27/17,4
9/28/17,3
9/29/17,3
9/30/17,2
10/1/17,3
10/2/17,3
10/3/17,3
10/4/17,3
10/5/17,3
10/6/17,3
10/7/17,2
10/8/17,2
10/9/17,3
10/10/17,3
10/11/17,2
10/12/17,5
10/13/17,7
10/14/17,4
10/15/17,5
10/16/17,5
10/17/17,5
10/18/17,5
10/19/17,4
10/20/17,6
10/21/17,5
10/22/17,4
10/23/17,5
10/24/17,5
10/25/17,5
10/26/17,6
10/27/17,4
10/28/17,3
10/29/17,5
10/30/17,5
10/31/17,5
11/1/17,6
11/2/17,13
11/3/17,8
11/4/17,7
11/5/17,6
11/6/17,7
11/7/17,8
11/8/17,10
11/9/17,8
11/10/17,11
11/11/17,6
11/12/17,9
11/13/17,10
11/14/17,8
11/15/17,8
11/16/17,9
11/17/17,10
11/18/17,8
11/19/17,9
11/20/17,10
11/21/17,11
11/22/17,10
11/23/17,10
11/24/17,10
11/25/17,13
11/26/17,14
11/27/17,17
11/28/17,19
11/29/17,44
11/30/17,30
12/1/17,23
12/2/17,22
12/3/17,21
12/4/17,19
12/5/17,20
12/6/17,33
12/7/17,68
12/8/17,53
12/9/17,51
12/10/17,41
12/11/17,49
12/12/17,92
12/13/17,75
12/14/17,59
12/15/17,50
12/16/17,48
12/17/17,45
12/18/17,41
12/19/17,54
12/20/17,100
12/21/17,60
12/22/17,75
12/23/17,50
12/24/17,45
12/25/17,36
12/26/17,31
12/27/17,32
12/28/17,33
12/29/17,42
12/30/17,48
12/31/17,33
1/1/18,25
1/2/18,39
1/3/18,48
1/4/18,52
1/5/18,51
1/6/18,44
1/7/18,38
1/8/18,38
1/9/18,39
1/10/18,39
1/11/18,32
1/12/18,28
1/13/18,31
1/14/18,22
1/15/18,21
1/16/18,34
1/17/18,39
1/18/18,30
1/19/18,21
1/20/18,21
1/21/18,19
1/22/18,20
1/23/18,21
1/24/18,16
1/25/18,15
1/26/18,16
1/27/18,14
1/28/18,16
1/29/18,15
1/30/18,15
1/31/18,13
2/1/18,21
2/2/18,22
2/3/18,14
2/4/18,15
2/5/18,19
2/6/18,23
2/7/18,19
2/8/18,16
2/9/18,14
2/10/18,14
2/11/18,11
2/12/18,12
2/13/18,9
2/14/18,15
2/15/18,15
2/16/18,12
2/17/18,15
2/18/18,13
2/19/18,11
2/20/18,14
2/21/18,11
2/22/18,13
2/23/18,12
2/24/18,10
2/25/18,9
2/26/18,11
2/27/18,10
2/28/18,9
3/1/18,10
3/2/18,8
3/3/18,8
3/4/18,7
3/5/18,8
3/6/18,9
3/7/18,9
3/8/18,8
3/9/18,11
3/10/18,8
3/11/18,7
3/12/18,9
3/13/18,6
3/14/18,6
3/15/18,8
